2.091434318343852e-02	6.793223608489434e-03	1.767022519502189e-03	4.131889821873425e-02
2.143686789729112e-02	4.926727127991293e-03	1.410411346045922e-03	4.235121108072964e-02
2.197244738767637e-02	4.301597126021641e-03	1.198386026654721e-03	4.340931528496748e-02
2.252140781560788e-02	2.367722345073689e-03	7.993419048310035e-04	4.449385520328424e-02
2.308408349091797e-02	1.577493836817944e-03	5.913456402803108e-04	4.560549130652585e-02
2.366081707584800e-02	1.101526528924819e-03	4.454938854277776e-04	4.674490056676597e-02
2.425195979372530e-02	1.339708202259584e-03	4.600467644463459e-04	4.791277686957330e-02
2.485787164285360e-02	5.069295579142379e-04	2.554105093363297e-04	4.910983143657890e-02
2.547892161574743e-02	8.505326976846757e-04	3.116344347102019e-04	5.033679325860103e-02
2.611548792384377e-02	1.394743931210691e-03	3.673639139197154e-04	5.159440953959120e-02
2.676795822782795e-02	1.080510239231408e-03	2.963339170832293e-04	5.288344615167172e-02
2.743672987371402e-02	2.348980956780912e-03	4.121822413937119e-04	5.420468810154197e-02
2.812221013482335e-02	2.032429116325851e-03	3.600043123815555e-04	5.555894000853737e-02
2.882481645980885e-02	1.764354549157386e-03	3.180952277555581e-04	5.694702659463220e-02
2.954497672687582e-02	2.144703022001680e-03	3.280475460956044e-04	5.836979318668467e-02
3.028312950435428e-02	1.497263925835852e-03	2.622240950793622e-04	5.982810623123010e-02
3.103972431778138e-02	2.054779278865995e-03	2.907061149867559e-04	6.132285382213565e-02
3.181522192365675e-02	1.728066084367107e-03	2.516442204134722e-04	6.285494624143813e-02
3.261009459003721e-02	2.083877854700188e-03	2.645338706344445e-04	6.442531651369394e-02
3.342482638414197e-02	2.093489029805449e-03	2.510188012840063e-04	6.603492097417916e-02
3.425991346714331e-02	1.664179705518676e-03	2.135694159990979e-04	6.768473985128529e-02
3.511586439632237e-02	1.276394072252181e-03	1.776077513302968e-04	6.937577786346569e-02
3.599320043477397e-02	1.131017167363498e-03	1.590621542396780e-04	7.110906483109634e-02
3.689245586884912e-02	8.456503950988215e-04	1.310776210128618e-04	7.288565630362309e-02
3.781417833352854e-02	8.099304940555056e-04	1.250037498706053e-04	7.470663420237766e-02
3.875892914592530e-02	5.485676252782098e-04	9.755825623391106e-05	7.657310747945384e-02
3.972728364711974e-02	4.130163220727083e-04	8.199670154963367e-05	7.848621279304505e-02
4.071983155253475e-02	2.191144276804767e-04	5.581875270061461e-05	8.044711519965449e-02
4.173717731106486e-02	3.819205742927289e-04	7.262699234849600e-05	8.245700886359961e-02
4.277994047317790e-02	2.120994871582269e-04	5.206757416981016e-05	8.451711778424276e-02
4.384875606821316e-02	1.441457311768840e-04	4.142560733796364e-05	8.662869654139105e-02
4.494427499110619e-02	1.995791694477522e-04	4.680564461006172e-05	8.879303105931935e-02
4.606716439877533e-02	1.647282605081422e-04	4.053017067994761e-05	9.101143938988152e-02
4.721810811641176e-02	1.580587521626948e-04	3.789818794004551e-05	9.328527251518709e-02
4.839780705392020e-02	1.559961576170657e-04	3.607406701494917e-05	9.561591517033197e-02
4.960697963276403e-02	1.869098100684325e-04	3.791155543167568e-05	9.800478668668423e-02
5.084636222347470e-02	1.885280382753809e-04	3.640832586477038e-05	1.004533418562387e-01
5.211670959409190e-02	1.647119175130117e-04	3.250680351785374e-05	1.029630718175666e-01
5.341879536980761e-02	1.657861722305408e-04	3.154317414941879e-05	1.055355049638995e-01
5.475341250409384e-02	1.902398017935906e-04	3.218780069186240e-05	1.081722078739014e-01
5.612137376160111e-02	1.423379865192334e-04	2.668613569579180e-05	1.108747862656949e-01
5.752351221312164e-02	1.471825118897749e-04	2.614373364506593e-05	1.136448859747227e-01
5.896068174291878e-02	1.019546389176810e-04	2.088473872609296e-05	1.164841939560404e-01
6.043375756873143e-02	7.927496393232576e-05	1.766078572015454e-05	1.193944393116502e-01
6.194363677477051e-02	7.349659177388002e-05	1.640704879805253e-05	1.223773943435019e-01
6.349123885803160e-02	7.939543942916185e-05	1.643097034976277e-05	1.254348756328021e-01
6.507750628825676e-02	4.720992753629955e-05	1.215337374852281e-05	1.285687451462884e-01
