SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-12.772949,0.23469236,0.15780224,0.55343635,0.44595648,0.48403264,0.37266836,0.30206732,0.19445649,0.31703001E-1,0.33984960,0.89709880
-11.924710,0.23467200,0.18758590,0.56740277,0.45471423,0.34584183,0.26526002,0.29574374,0.14668767,0.25137039E-1,0.37293900,0.82827675
-11.157547,0.36188010,0.13842494,0.58378196,0.52131824,0.38320561,0.19162428,0.37424810,0.95375075E-2,0.73969184E-1,0.36507024,0.84659539
-9.5858014,0.37503714,0.18345054,0.57877638,0.62004902,0.10988545,0.63269402E-1,0.29165430,0.18510352,0.37549088E-1,0.31663000,0.84186719
-9.5858014,0.37503714,0.18345054,0.57877638,0.62004902,0.10988545,0.63269402E-1,0.29165430,0.18510352,0.37549088E-1,0.31663000,0.84186719
-9.5858014,0.37503714,0.18345054,0.57877638,0.62004902,0.10988545,0.63269402E-1,0.29165430,0.18510352,0.37549088E-1,0.31663000,0.84186719
