SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
-15.209557,0.89903781,0.13833221,0.26386946,0.58162387,0.25471008,0.16967940,0.33390466,0.24692104,0.90924442E-1,0.57235811E-2,0.81750389E-1,0.33263237,0.85526310,0.67794560,0.20569867
-14.511754,0.75304849,0.18880351,0.39249606,0.78068315,0.12869843,0.26207890,0.30630994,0.27278293,0.10010613,0.61922062E-1,0.54308370E-1,0.37156803,0.84380373,0.69505220,0.43609057
-14.511754,0.75304849,0.18880351,0.39249606,0.78068315,0.12869843,0.26207890,0.30630994,0.27278293,0.10010613,0.61922062E-1,0.54308370E-1,0.37156803,0.84380373,0.69505220,0.43609057
-13.796312,0.70004525,0.20775918,0.39222927,0.71301606,0.21215672,0.25560922,0.19058070,0.27940070,0.43352450E-1,0.35804037E-1,0.10343789,0.33339956,0.91803224,0.70617991,0.27130222
-13.051035,0.61624804,0.15929387,0.38083568,0.48811547,0.42994419,0.17792924,0.32235237,0.24976263,0.11955016,0.28076392E-1,0.17803440,0.38373975,0.86804150,0.48593592,0.14777342
-10.030405,0.66306661,0.16915078,0.34494588,0.51098612,0.33914219,0.15249541,0.31979135,0.27359095,0.58091024E-1,0.78130181E-2,0.14897721,0.36544353,0.87385673,0.49444914,0.16502877
-9.3327868,0.62519169,0.18308619,0.39918859,0.55521072,0.21339294,0.14470199,0.31162788,0.25340534,0.45656348E-1,0.23407151E-1,0.10271605,0.35056417,0.91117751,0.53206770,0.16877725
-9.3005300,0.51722834,0.17311985,0.43847953,0.55368663,0.26577590,0.29047986,0.24679526,0.19884367,0.65969748E-1,0.58634946E-1,0.95998011E-1,0.35593273,0.90634440,0.59008282,0.16685484
-10.351641,0.53442599,0.17731097,0.37287188,0.56551555,0.43362118,0.20931290,0.39466469,0.15185544,0.10861003,0.29695765E-2,0.86661010E-1,0.36988057,0.90914012,0.53108375,0.16263454
-11.958970,0.65336243,0.15085633,0.31132056,0.53754323,0.50924652,0.24431969,0.15592150,0.29866844,0.82416879E-1,0.22734388E-1,0.25516203,0.36711146,0.85391127,0.47797307,0.17587495
