SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-14.084975,0.15975851,0.13676564,0.52996091,0.57099611,0.36748497,0.29257274,0.32501628,0.30747527,0.88776151E-1,0.40606507,0.81458854
-14.084975,0.15975851,0.13676564,0.52996091,0.57099611,0.36748497,0.29257274,0.32501628,0.30747527,0.88776151E-1,0.40606507,0.81458854
-14.084975,0.15975851,0.13676564,0.52996091,0.57099611,0.36748497,0.29257274,0.32501628,0.30747527,0.88776151E-1,0.40606507,0.81458854
-14.084975,0.15975851,0.13676564,0.52996091,0.57099611,0.36748497,0.29257274,0.32501628,0.30747527,0.88776151E-1,0.40606507,0.81458854
-12.238126,0.10334607,0.17813042,0.59098788,0.61164284,0.24794308,0.37059458,0.36145146,0.20654091,0.91305335E-1,0.37943515,0.88463172
-12.238126,0.10334607,0.17813042,0.59098788,0.61164284,0.24794308,0.37059458,0.36145146,0.20654091,0.91305335E-1,0.37943515,0.88463172
-12.238126,0.10334607,0.17813042,0.59098788,0.61164284,0.24794308,0.37059458,0.36145146,0.20654091,0.91305335E-1,0.37943515,0.88463172
-12.238126,0.10334607,0.17813042,0.59098788,0.61164284,0.24794308,0.37059458,0.36145146,0.20654091,0.91305335E-1,0.37943515,0.88463172
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-10.736404,0.87390288E-1,0.14683118,0.68006188,0.55715481,0.28923015,0.28385786,0.41965887,0.18853524,0.70115287E-1,0.39016651,0.88259334
-9.2750953,0.70586682E-1,0.19060316,0.69702203,0.52932022,0.24504725,0.15122545,0.39842073,0.12233782,0.71933948E-1,0.34694175,0.86619992
-8.2583805,0.57547904E-1,0.14505746,0.50100611,0.56550969,0.35277671,0.62475969E-1,0.35235225,0.97056728E-1,0.85762806E-1,0.31481952,0.94055006
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-7.0218165,0.18570930,0.20262001,0.44828691,0.58637246,0.26336832,0.86933701E-1,0.26170298,0.25031316E-1,0.66108500E-2,0.32784403,0.91416470
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
-5.2476724,0.20531471,0.15940203,0.46599939,0.56116564,0.14526313,0.32402591E-1,0.26994180,0.13305195,0.22508408E-1,0.31853533,0.89226741
