SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
-11.552014,0.19965976,0.80314745E-1,0.36167329,0.40837398,0.60531672,0.20421598,0.19617955,0.32806885,0.26664643E-1,0.19909495,0.10289575,0.32111189,0.90263230,0.36257857,0.18937024
-11.495764,0.27500073,0.97906318E-1,0.46798669,0.37369305,0.54647540,0.25855828,0.18467164,0.32872224,0.34828069E-1,0.16887703,0.14076124,0.33142622,0.90270750,0.35722502,0.15771622
-10.408505,0.78937764E-1,0.10316818,0.35290447,0.54806871,0.40096072,0.57029381E-1,0.38877750,0.42342013,0.55676715E-1,0.12018133,0.97832811E-1,0.32182887,0.94025625,0.38844052,0.14073668
-8.8163886,0.70774789E-1,0.10201987,0.37378748,0.50691401,0.36765972,0.13371283,0.40222790,0.40366151,0.42587514E-1,0.11608426,0.13905849,0.34127323,0.92173384,0.40180160,0.95052654E-1
-10.497354,0.14081975,0.11663665,0.41347367,0.49800116,0.44986756,0.20641161,0.30495443,0.38911167,0.56858035E-1,0.89339852E-1,0.51473586E-1,0.33944533,0.92723423,0.35797719,0.15451266
-10.022801,0.74056070E-1,0.15752993,0.32158865,0.51460484,0.57914202,0.10044160E-1,0.37152597,0.26496411,0.43931646E-1,0.13581710,0.10285989,0.30576766,0.95134443,0.48533215,0.21394520
-10.507339,0.23003525,0.17093575,0.49872333,0.51735990,0.29902182,0.14025052,0.37218906,0.30417700,0.40995918E-1,0.99921269E-1,0.52239035E-1,0.35237340,0.94592756,0.48639216,0.15745271
-12.476634,0.22289201,0.15665213,0.48369865,0.55263604,0.45504430,0.61262230E-1,0.32683707,0.29510862,0.23614302E-1,0.17010758,0.40671418E-1,0.28258781,0.97394253,0.56047469,0.36389381
-8.4888524,0.17449360,0.15675007,0.43298844,0.53315728,0.40266793,0.44586451E-1,0.36737249,0.31830070,0.50266954E-1,0.12210384,0.11149336,0.34135777,0.93877883,0.41449158,0.13312362
-12.412702,0.24563757,0.19861753,0.45149141,0.46046577,0.49082704,0.28804396,0.23599359,0.26606763,0.39351374E-1,0.97514004E-1,0.43723345E-1,0.35483948,0.93382851,0.36100824,0.12173892
-11.758762,0.99232564E-1,0.13227277,0.44586940,0.37931629,0.79671235,0.21927274,0.20492707,0.24285434,0.74195991E-1,0.77669147E-1,0.12131404,0.32409652,0.90698936,0.44074924,0.32944486
-15.265834,0.13953381,0.77998999E-1,0.55699902,0.47882137,0.23274297,0.14530294,0.43045050,0.30770083,0.12430549,0.77003305E-1,0.47188720E-1,0.34988360,0.92908685,0.51662872,0.30373278
-10.919940,0.83836821E-1,0.17781394,0.38795594,0.49806950,0.44092553,0.23151235,0.32049611,0.30416725,0.27410713E-1,0.12437237,0.29999139E-1,0.34404002,0.94696522,0.39161010,0.11083093
-14.307209,0.28141730,0.12379248,0.54909682,0.39772370,0.77316500,0.89738250E-1,0.28526133,0.22526798,0.15192142E-1,0.95932050E-1,0.24705126,0.29229920,0.90560330,0.61672546,0.48844599
-9.2554685,0.20686413,0.12342261,0.45999224,0.47351547,0.37589952,0.21521765,0.36531993,0.38223318,0.19317807E-1,0.40281473E-1,0.63841606E-1,0.34190885,0.92114261,0.57175921,0.23693628
-10.240263,0.34628937,0.16581177,0.52796148,0.51033725,0.58954723,0.44152870E-1,0.44077084,0.12586547,0.17171409E-2,0.66534131E-1,0.17088132,0.38587501,0.85473734,0.49069142,0.38168497
-8.9349341,0.45015554,0.17442002,0.43058723,0.63802722,0.36348210,0.60694822E-1,0.29134090,0.16217651,0.84634263E-1,0.73842998E-1,0.74588820E-1,0.34467867,0.90545019,0.58771725,0.21534928
-7.9034125,0.36121583,0.16061447,0.39502560,0.44412324,0.61892112,0.69886346E-1,0.25453234,0.15191178,0.79704414E-1,0.11097377,0.67644714E-1,0.28532035,0.93287611,0.42622747,0.79756708E-1
-11.627928,0.69738282E-1,0.18208017,0.63921131,0.75720582,0.20635109,0.44653653E-1,0.54699534,0.26893314,0.74979608E-1,0.30721382E-1,0.60366971E-1,0.36679739,0.90450118,0.47385243,0.19981984
-10.288869,0.64807068,0.20537109,0.29954039,0.44493533,0.66229905,0.84010809E-1,0.13614635,0.11842706,0.83372016E-2,0.15840126,0.62038177E-1,0.27943499,0.94465750,0.43634664,0.39719929
-10.278264,0.49252682,0.82443768E-1,0.36623329,0.47661687,0.39084728,0.25095341,0.19623281,0.32228596,0.33901662E-1,0.11713648,0.16751379,0.34888998,0.92568543,0.44608097,0.48539551
-12.975000,0.52281552,0.18497317,0.52992659,0.54185233,0.68694917,0.38961207,0.13364768,0.64992872E-1,0.11804518E-1,0.14302714E-1,0.68438054E-1,0.38746875,0.81808409,0.38486470,0.45779282
-11.419248,0.54904860,0.67001968E-1,0.48289602,0.56395090,0.34444442,0.18767762,0.22569013,0.32589234,0.68089929E-1,0.47574335E-1,0.54350607E-1,0.35381201,0.87098058,0.46699051,0.27527660
-11.279634,0.19245943,0.18909995,0.59257396,0.39238706,0.54586863,0.14101583,0.44583966,0.83724612E-1,0.56599766E-1,0.11895341,0.84685585E-1,0.35107695,0.88670262,0.31419586,0.25633528
-8.7629801,0.43775079,0.10279797,0.40852903,0.55789544,0.12236583,0.56152881E-1,0.35933912,0.43408858,0.63834625E-1,0.13514754,0.20325269,0.34026164,0.89196074,0.50368761,0.12387587
-12.105906,0.56928046,0.11807875,0.35555659,0.37875347,0.63083867,0.22145294,0.26940094,0.22049312,0.28088199E-1,0.16462575,0.10144868,0.36786242,0.84178972,0.33338466,0.68192436
-7.2496316,0.35946883,0.17010672,0.39995106,0.48951618,0.55949595,0.71998920E-1,0.25804520,0.13970315,0.85804292E-1,0.10921876,0.14886652,0.31321060,0.92473084,0.41877066,0.36124243
