NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,131,0.13245929,0.13232683,1.2670820,1.2670820,56.767207
1999,701,0.34700492,0.56133602,1.1124780,2.3795600,17.987573
2999,1188,0.39496940,0.49085039,1.0799181,3.4594781,14.012634
3999,1625,0.40777888,0.44619451,1.0814118,4.5408900,12.225473
4999,2027,0.40786457,0.40820725,1.1192749,5.6601648,11.094146
5999,2421,0.40774754,0.40716251,1.2272272,6.8873920,10.181733
6999,2805,0.40502085,0.38866341,1.1202440,8.0076361,9.1209972
7999,3205,0.40452188,0.40102961,1.1049750,9.1126111,7.9468792
8999,3610,0.40416861,0.40134285,1.0839379,10.196549,6.7506238
9999,3970,0.39941223,0.35660951,1.0740290,11.270578,5.7630411
10999,4348,0.39728723,0.37603934,1.0920460,12.362624,4.6971147
11999,4713,0.39493867,0.36910692,1.0824232,13.445047,3.6714992
12999,5117,0.39550664,0.40232172,1.1044118,14.549459,2.5106844
13999,5506,0.39455174,0.38213897,1.1479790,15.697438,1.4083789
14999,5878,0.39329629,0.37572118,1.1047070,16.802145,0.34873455
15328,6000,0.39252291,0.35726476,0.35267782,17.154823,0.0000000
