ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
1,0,0.68369061E-1,0.0000000,1,17,-41.228149,0.22222000,0.27273000,0.40000000,0.50000000,0.40000000,0.50000000,0.33333000,0.20000000,0.0000000,0.0000000,0.0000000,0.33333000,1.0000000,0.53650000,0.13333000
1,0,0.72078387E-1,0.0000000,1,13,-33.359883,0.87679471E-1,0.17137079,0.41451509,0.52343704,0.34056889,0.50427166,0.38273396,0.20422076,0.10668331,0.12368398,0.53241911E-1,0.30648623,0.99225916,0.62744010,0.63067571E-1
1,0,0.10047791,0.0000000,2,1,-33.408587,0.13479494,0.14511712,0.55411763,0.54570584,0.65908976E-1,0.56472062,0.25833001,0.45568543E-1,0.14875108,0.20345255,0.71793367E-1,0.35352693,0.84321934,0.59451103,0.13825464
1,0,0.12102398,0.0000000,2,3,-27.815587,0.14310780,0.20823374,0.55235046,0.66478940,0.87965692E-1,0.51644736,0.18006405,0.10830957,0.82681677E-1,0.14736794,0.15871481E-1,0.42707047,0.93948699,0.45817415,0.19076479
1,0,0.13825588,0.0000000,4,3,-23.100035,0.11107363,0.20710726,0.64064690,0.63957311,0.13845228,0.54294584,0.82134566E-1,0.11903499,0.30694096E-1,0.11696443,0.97360745E-1,0.42136832,0.91862712,0.38030002,0.38237347
1,0,0.12248403,0.0000000,5,13,-22.848951,0.10043653,0.11025423,0.80870550,0.53293144,0.19620274,0.42999476,0.48540184E-1,0.20772012,0.12889866,0.69539692E-1,0.12077252,0.36112666,0.91715351,0.48441264,0.22352514
1,0,0.10539627,0.0000000,5,19,-16.520753,0.44490998E-1,0.16520329,0.73007150,0.51730299,0.13261749,0.28634720,0.19475185,0.19280337,0.19726330E-1,0.77977758E-1,0.20732127,0.33393789,0.81931952,0.45020246,0.16905820
1,0,0.61505735E-1,0.0000000,7,66,-11.332665,0.20149929,0.18766037,0.68107969,0.56920656,0.15520262,0.29750316,0.21593030,0.11852666,0.39408298E-1,0.44259112E-1,0.56766806E-1,0.40233717,0.85162293,0.50972691,0.24117341
1,0,0.18691798E-1,0.0000000,8,392,-10.804436,0.17026100,0.20010245,0.63009848,0.53212993,0.24081524,0.22250785,0.27596547,0.19823197,0.62746096E-1,0.54357844E-1,0.15695497,0.35807598,0.91246096,0.39785955,0.22063590
1,0,0.19441976E-1,0.0000000,8,5,-11.512587,0.36896912,0.82736851E-1,0.59687169,0.60197954,0.24042416,0.16535936,0.14814899,0.26637812,0.44121645E-1,0.92770542E-1,0.12501085,0.35124421,0.86214823,0.53057387,0.30141682
1,0,0.19816845E-1,0.0000000,8,4,-12.790231,0.65655265,0.10403857,0.42912977,0.53370104,0.34868370,0.86636176E-1,0.28679632,0.27032726,0.15622602,0.12367258E-1,0.15784157,0.33545017,0.91142533,0.50656509,0.30570489
1,0,0.16177566E-1,0.0000000,8,192,-12.706556,0.51562151,0.18101593,0.36022650,0.58202171,0.37071293,0.15394654,0.38380789,0.77240477E-1,0.92760146E-1,0.78880885E-1,0.48687052E-1,0.31092999,0.92513139,0.44477716,0.13392268
1,0,0.13452247E-1,0.0000000,8,291,-11.333449,0.45791695,0.22015398,0.48378815,0.56671110,0.27126385,0.10115650,0.24890051,0.15383075,0.36509576E-1,0.87579787E-1,0.19958227,0.36457736,0.84543359,0.40141918,0.28289800
1,0,0.13577304E-1,0.0000000,8,37,-11.796278,0.43567381,0.13543084,0.42877857,0.43168559,0.34726393,0.80619563E-1,0.34424508,0.10541492,0.57876638E-1,0.74036530E-2,0.91016994E-1,0.32389410,0.90896224,0.48412466,0.54801772E-1
1,0,0.13439607E-1,0.0000000,8,32,-13.864297,0.36939627,0.12992602,0.65775664,0.41867166,0.30979950,0.24336037,0.27040663,0.17492063,0.37421768E-1,0.46241817E-1,0.14326140,0.36367650,0.92358226,0.50989216,0.58285836E-1
1,0,0.13705011E-1,1.0000000,8,52,-11.201439,0.46411907,0.11363666,0.53824128,0.47476929,0.34224649,0.23247745,0.24198957,0.21480508,0.61582527E-1,0.34371641E-1,0.20630337,0.33844558,0.85079625,0.53923956,0.73212580E-1
1,0,0.14569424E-1,0.0000000,8,1,-11.101559,0.46174694,0.11013561,0.54003252,0.47281415,0.34639110,0.22650225,0.23631946,0.22392210,0.57191121E-1,0.32516647E-1,0.20940148,0.33894779,0.85029458,0.54514131,0.78823595E-1
1,0,0.15222155E-1,0.0000000,8,1,-11.376011,0.47334158,0.10420352,0.54069319,0.47166728,0.34496632,0.21692459,0.23170368,0.21928581,0.59252152E-1,0.31577514E-1,0.20799657,0.33867078,0.84885202,0.54241403,0.78847329E-1
1,0,0.16083728E-1,0.0000000,8,1,-11.299963,0.46684073,0.10602390,0.54816713,0.47944042,0.33679322,0.21874372,0.21662917,0.22946178,0.59172413E-1,0.32347240E-1,0.22091724,0.34028702,0.84215816,0.53517837,0.10153151
1,0,0.16943795E-1,0.0000000,8,1,-10.560876,0.45183162,0.11123104,0.54843053,0.49678293,0.32438741,0.24012704,0.20189110,0.22601336,0.53569628E-1,0.42523098E-1,0.21550046,0.34537515,0.84070785,0.53169902,0.12031150
1,0,0.17399426E-1,0.0000000,8,1,-11.179580,0.45957877,0.10551345,0.54629264,0.49238460,0.32717847,0.23074692,0.20818444,0.22302456,0.60371428E-1,0.42018336E-1,0.21929487,0.34259169,0.83967082,0.53116320,0.11178901
1,0,0.18256844E-1,0.0000000,8,1,-11.067013,0.44275645,0.10988416,0.53470870,0.49649883,0.32230987,0.25585871,0.21712983,0.21424853,0.63226067E-1,0.53757312E-1,0.21267112,0.34459205,0.84624620,0.53463695,0.10331165
1,0,0.18696637E-1,0.0000000,8,1,-11.715761,0.45880345,0.10502995,0.51939820,0.49088990,0.33878280,0.24471156,0.23167195,0.21828552,0.67320175E-1,0.50614305E-1,0.21150230,0.33757049,0.84961647,0.54273844,0.96940852E-1
1,0,0.19551431E-1,0.0000000,8,1,-11.480071,0.47426541,0.10437101,0.51741115,0.48094227,0.35448178,0.21354666,0.24095063,0.22244525,0.61735923E-1,0.40539754E-1,0.21654906,0.33384520,0.84988072,0.53857849,0.92572471E-1
1,0,0.20404737E-1,0.0000000,8,1,-10.833356,0.47032615,0.11026261,0.50597612,0.48538405,0.35420217,0.22067741,0.25051639,0.21780300,0.61163183E-1,0.39902875E-1,0.20582372,0.33543800,0.85478516,0.54069353,0.86363868E-1
1,0,0.21656433E-1,0.0000000,8,2,-10.662554,0.46614026,0.11023038,0.51126889,0.48703660,0.35351232,0.22915145,0.24523873,0.21134407,0.60215551E-1,0.40646593E-1,0.20023489,0.33657708,0.85761397,0.53619014,0.78391035E-1
1,0,0.22505689E-1,0.0000000,8,1,-10.356668,0.45293915,0.11401974,0.51249228,0.48542453,0.35899496,0.24401509,0.24853286,0.21243259,0.61328665E-1,0.37519726E-1,0.19557941,0.33675893,0.86787152,0.53150720,0.76800757E-1
1,0,0.23353473E-1,0.0000000,8,1,-9.6673463,0.44760619,0.12658647,0.49986410,0.48426718,0.36837470,0.24706882,0.25896910,0.20199038,0.48387006E-1,0.32268740E-1,0.18614700,0.33606504,0.87038033,0.52742933,0.69237304E-1
1,0,0.24199787E-1,0.0000000,8,1,-8.8479440,0.43886094,0.13069646,0.51628263,0.48497289,0.36417846,0.24938990,0.24781104,0.20484924,0.47158075E-1,0.27309346E-1,0.18800142,0.34194649,0.87522433,0.51552786,0.82596004E-1
1,0,0.25044635E-1,0.0000000,8,1,-8.4376159,0.42515790,0.13308334,0.53042270,0.48970700,0.35142506,0.24526599,0.23398713,0.19940700,0.46057451E-1,0.30076575E-1,0.19058047,0.34508889,0.87230113,0.50232288,0.97083600E-1
1,0,0.25849266E-1,0.0000000,8,1,-8.4834527,0.44650448,0.12450017,0.54242723,0.49027841,0.34809868,0.22151578,0.22403910,0.19983558,0.48387746E-1,0.25533995E-1,0.19615226,0.34756758,0.86740454,0.49426325,0.10346362
1,0,0.26502770E-1,0.0000000,8,1,-8.7294136,0.42918840,0.12733603,0.54584205,0.48807266,0.33860599,0.23353685,0.22321907,0.19161299,0.49389415E-1,0.31218827E-1,0.19893090,0.34789057,0.86429193,0.49144358,0.99398204E-1
1,0,0.27248349E-1,0.0000000,8,1,-8.8460778,0.40189253,0.12540612,0.55311103,0.49482031,0.33178628,0.24639100,0.21772091,0.19932550,0.48687053E-1,0.38536198E-1,0.19926579,0.34686743,0.86329322,0.49848769,0.96299660E-1
1,0,0.28087652E-1,0.0000000,8,1,-8.3810861,0.40412844,0.13323829,0.53528378,0.49150431,0.34256771,0.24185703,0.22786215,0.19192476,0.41140832E-1,0.34318403E-1,0.19412099,0.34449887,0.86697226,0.49326185,0.85934349E-1
