SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-10.266239,0.79981412E-1,0.13561406,0.68869769,0.53824826,0.38279406,0.15914973,0.34505387,0.11562615,0.73157263E-1,0.38795762,0.84289496
-10.305122,0.23569362E-1,0.14519884,0.70395211,0.59504700,0.14134276,0.18492345,0.39406164,0.16160765,0.73341707E-1,0.33634556,0.88916093
-8.2289078,0.17040830,0.14285378,0.65726148,0.54997970,0.26170128,0.15359431,0.21410136,0.91624417E-1,0.16708208E-1,0.35482430,0.91787859
-14.997633,0.20439375E-1,0.20524249,0.57957548,0.67011014,0.16090631,0.11381430,0.36744294,0.14308189,0.16350044E-1,0.27689623,0.93178817
-11.502225,0.12514039,0.10598960,0.67772069,0.62672001,0.13609118,0.23334353E-1,0.24110913,0.73027160E-1,0.12048685E-1,0.30821175,0.92773801
-6.0861156,0.11746971,0.14280888,0.54266882,0.58688309,0.14550268,0.60154814E-1,0.45860184,0.20221048,0.26831460E-1,0.35068152,0.90071538
-9.0415602,0.39994138,0.19099139,0.56233491,0.60749314,0.41965892,0.42528776E-1,0.48715649,0.67450096E-1,0.38443732E-1,0.36779390,0.81961924
-8.9242907,0.62587887,0.13191292,0.17963796,0.58395655,0.31862779,0.15681084,0.87045920E-1,0.15762932,0.73510465E-1,0.35141734,0.87189813
-7.0888931,0.53402148,0.12819645,0.27229482,0.50608075,0.51089987,0.16504576,0.37562052E-1,0.14084727,0.29415154E-1,0.33581665,0.88832747
-12.449432,0.56717686,0.17415611,0.48249123,0.62100368,0.61947716,0.22986478,0.35801087,0.27652416E-1,0.61678796E-1,0.36140829,0.91599563
-9.6016161,0.17801746,0.19734822,0.51990505,0.76423733,0.40066518E-1,0.10978229,0.39003900,0.31265475,0.41815661E-1,0.34502697,0.90396943
-8.4324436,0.73050144,0.18026097,0.32098981,0.62187513,0.40424330,0.56120316E-1,0.20512238,0.12481087,0.69545188E-1,0.34739869,0.88376355
-9.9939725,0.53718005,0.12811434,0.36691397,0.48086569,0.48507476,0.20914387,0.36344952,0.26533634,0.51871312E-1,0.36668422,0.86908676
-10.057052,0.84898817,0.19935597,0.18800930,0.68741462,0.31378407,0.10336423,0.44250062E-1,0.15765421,0.52783423E-1,0.31688689,0.92967357
-9.2683140,0.39798921,0.20589107,0.52569599,0.64572359,0.17640450,0.20712598,0.29219740,0.10810253,0.46337868E-1,0.31879253,0.90770236
-8.5728865,0.63626435,0.16489450,0.33393538,0.72710894,0.10916583,0.16616362,0.14893433,0.19929537,0.56447787E-1,0.35803350,0.88898053
-6.8088481,0.44353321,0.15497568,0.30817218,0.69079856,0.15057502,0.30853646E-1,0.18628595,0.23554445,0.17971177E-1,0.31027978,0.86048907
-8.5633639,0.44434690,0.13924485,0.11465341,0.59006247,0.77568964E-1,0.83706656E-1,0.48912161,0.46814630,0.39068064E-1,0.35164938,0.86920528
-9.2965920,0.74928018,0.15438076,0.10728704,0.51253834,0.47324490,0.20857504,0.16042955,0.21399360,0.19926042E-1,0.33966427,0.91908982
-8.3734623,0.75280156,0.16960835,0.22592525,0.70909128,0.48595392,0.13063347E-1,0.32068130,0.12028213,0.25841384E-1,0.32909531,0.90239799
-11.181682,0.16322252,0.12274068,0.57266366,0.51644390,0.34604253,0.13923623E-1,0.42353533,0.25679857,0.76029479E-1,0.29160032,0.91571442
-7.8140942,0.37515392,0.21567119,0.43178487,0.56187046,0.33214252,0.94608046E-1,0.19052634,0.86089559E-2,0.54144850E-1,0.28581542,0.94043695
-10.179866,0.11250206,0.24933017,0.56513169,0.56516163,0.26935737,0.46286412E-1,0.22388182,0.23716853E-1,0.28889889E-2,0.30616846,0.91953872
-8.8828901,0.57901097,0.15825044,0.90251635E-1,0.63546288,0.17957097,0.55464516E-1,0.23417539,0.45409761,0.39699749E-1,0.31450870,0.84056485
-7.2206758,0.46809566,0.13653477,0.35413066,0.66954373,0.94783276E-1,0.47424311E-1,0.40221253,0.20276405,0.18226079E-1,0.34265520,0.91315857
-7.9736051,0.47022325,0.18166904,0.42643438,0.47560190,0.60678954,0.15021900,0.14588056,0.13125397,0.25495401E-1,0.30001562,0.92893106
-6.6856210,0.24049657,0.17651858,0.55000641,0.56080440,0.14817041,0.59599405E-1,0.24203186,0.12867103,0.19115850E-1,0.30568722,0.94048737
-8.1456348,0.64896434,0.12141779,0.34270131E-1,0.51903146,0.60296939,0.71746342E-2,0.23141441,0.37549789,0.17668596E-1,0.30855096,0.93611316
