SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
-10.341399,0.40397628,0.18493266,0.42376519,0.77025741,0.40152966E-1,0.15025007,0.39663072,0.27280707,0.12379551,0.12561507E-1,0.13383915,0.35490909,0.88350087,0.46180203,0.25160117
-9.5738034,0.41748232E-1,0.11267536,0.37121000,0.58027548,0.17373035,0.65130226E-1,0.46314918,0.45851109,0.60398101E-1,0.56818037E-1,0.12000926,0.38063733,0.89181457,0.41689395,0.75060619
-9.4677104,0.44473167,0.17306281,0.34205786,0.48228039,0.44352839,0.82163539E-1,0.11076857,0.97265484E-1,0.96095199E-1,0.28451786E-1,0.85821571E-1,0.29994780,0.90828965,0.25317165,0.21465045
-5.0678081,0.49779279,0.17209812,0.37275523,0.70524209,0.14123995,0.46928839E-1,0.38242679,0.28489267,0.27049575E-1,0.36927118E-1,0.48800931E-1,0.35690127,0.84164962,0.46738018,0.85254527
-16.848182,0.22524742,0.10781425,0.86006286E-1,0.39499015,0.51049383,0.90602073E-1,0.13222383,0.19818935,0.36336563E-2,0.13544787,0.32638117E-1,0.33650240,0.86502205,0.42890887,0.53534660
-9.7847707,0.94750961,0.21035312,0.26283839,0.74621003,0.31577024,0.10103261,0.26288758,0.21493277,0.61119775E-1,0.93330515E-1,0.67289148E-1,0.35568414,0.84274939,0.50351039,0.97705484
-8.7956517,0.73714687,0.23536050,0.41868462,0.67621547,0.39393551,0.36899029E-1,0.42822926,0.50150052E-1,0.67144738E-1,0.12214188,0.43006880E-1,0.37285244,0.85923302,0.40067702,0.45208606
-9.5059924,0.76086362,0.16743424,0.31027075,0.65967560,0.46635834,0.19458365,0.27352977,0.20259376,0.87852396E-1,0.47056746E-1,0.28889139E-1,0.35362350,0.88944382,0.57590889,0.39791204
-9.2704754,0.74504711,0.13149014,0.10391619,0.58794127,0.44819833,0.21887420,0.20862511,0.16851145,0.28470225E-1,0.37826114E-1,0.15167304,0.33315379,0.88958889,0.56017018,0.57171591
-8.6622788,0.33096973,0.13757305,0.43465072,0.46810491,0.23949467,0.10533706,0.26920621,0.10486074,0.30158654E-1,0.14059286E-2,0.47016528E-1,0.34575062,0.86548458,0.43748463,0.42696004
-16.530153,0.50874258,0.30366612,0.47067977,0.72500790,0.13291780E-1,0.13568171,0.67892066E-1,0.22310390E-1,0.12566647E-1,0.12493994,0.55601773E-1,0.28326268,0.93535163,0.33967166,0.14279847
-10.405698,0.40049453,0.11919199,0.38410394,0.60969838,0.35359027E-1,0.69659909E-1,0.61284994,0.47794512,0.20742541E-1,0.76221947E-1,0.11800021,0.39888913,0.88862719,0.42976093,0.70029832
-10.789153,0.31284227,0.15648618,0.46404658,0.43363149,0.64386458,0.90499599E-1,0.40209327,0.27799593E-1,0.73184176E-1,0.59666211E-1,0.39575726E-2,0.32469266,0.87546978,0.49147769,0.73359183
-8.2714803,0.54022240,0.90125560E-1,0.27417843,0.55826071,0.12535607,0.95388991E-1,0.38442382,0.51815682,0.50294033E-1,0.51474814E-1,0.13072526,0.34560131,0.88211435,0.56551223,0.47872661
-9.1293363,0.66415818,0.13760411,0.15369621,0.64349037,0.23671750,0.30906800E-1,0.31916453,0.15115461,0.99739530E-1,0.30010311E-1,0.95763365E-1,0.32701223,0.86060660,0.48842068,0.55745531
-12.129887,0.63283508,0.18385832,0.38400650,0.60101210,0.19441381,0.51446207E-1,0.27456094,0.10778126,0.12346683,0.23808851E-1,0.16405018,0.37805144,0.83115261,0.44890863,0.41337927
-5.6384722,0.60097472,0.12421044,0.13613301,0.61367923,0.34685295,0.50433964E-2,0.34650057,0.42629024,0.33307086E-1,0.11112621,0.88563719E-1,0.32031075,0.91051630,0.49501380,0.60755234
-14.191362,0.34757070,0.81335191E-1,0.18657666,0.48507415,0.55007243,0.27883242,0.39201485,0.36264453,0.21449468E-1,0.10166408,0.72670958E-1,0.37254208,0.83255412,0.47973571,0.51085294
-10.399288,0.50778796,0.11235506,0.32881524,0.49601147,0.63325445,0.22286194,0.10476583,0.31680156,0.12738519E-2,0.10536013,0.13540653,0.34116304,0.89577974,0.30389463,0.47246381
-11.164719,0.96980970,0.17939772,0.34569379,0.54817592,0.72489449,0.73956898E-1,0.33067294,0.70379010E-1,0.24691599E-1,0.29041544E-1,0.29710768,0.34659226,0.83565940,0.53516363,0.84605013
-11.540811,0.60000621,0.17040645,0.17166590,0.48393880,0.56751297,0.55667127E-1,0.17071013,0.30580098,0.88690899E-1,0.40452492E-1,0.14490522,0.30808848,0.93144639,0.20798517,0.37459028
-15.054191,0.77397205,0.21953064,0.33365308,0.78230110,0.56146031E-1,0.78391715E-1,0.46147358,0.30686008,0.13738524,0.14999623,0.24966385,0.32429779,0.90607007,0.63363992,0.11423288E-1
-10.002823,0.33227656,0.66848955E-1,0.10261302E-1,0.61246764,0.84768230E-1,0.14898269,0.15316887,0.57898336,0.20513433E-1,0.22625076E-1,0.10486235,0.36403210,0.87203154,0.46748589,0.40290390
-10.162871,0.20404962,0.15964462,0.52288988,0.63155551,0.17219270,0.23315461,0.31050621,0.22330758,0.19965803E-2,0.71603630E-1,0.16507326,0.35833798,0.88844891,0.35121981,0.90372159
-10.959390,0.34360777,0.97017352E-1,0.46861196,0.34003110,0.69380021,0.28316336E-1,0.18067341,0.12883974,0.41327567E-1,0.61589411E-1,0.11520326,0.28642072,0.89897809,0.46976567,0.12099348E-1
-16.802972,0.52815476,0.12305096,0.25658484,0.61310424,0.31038729,0.24782592,0.16564297,0.47888647,0.11948313,0.16748442,0.19283424E-2,0.34766792,0.93066839,0.46328882,0.44924454
-9.8707951,0.66450207,0.92644407E-1,0.86052821E-1,0.41003070,0.75287621,0.26461037,0.24813992E-1,0.28096984,0.24128542E-1,0.88711067E-1,0.19345563,0.31861492,0.91466452,0.51570478,0.39663666
-7.0948073,0.31696296,0.96310189E-1,0.19477926,0.47154857,0.44644087,0.27939197E-1,0.24955616,0.33471359,0.83085444E-3,0.33826622E-1,0.96757546E-2,0.32325266,0.89814649,0.32319676,0.80101059
-7.2123509,0.48181728,0.16075369,0.33552197,0.61728845,0.29592017,0.12376565,0.19017035,0.17664870,0.27989080E-1,0.96770906E-1,0.15488838,0.35003645,0.88234685,0.43169794,0.10310909
-9.6903931,0.95265901E-1,0.11210573,0.52917875,0.48054517,0.34800172,0.71368578E-1,0.42210335,0.34291898,0.78658711E-1,0.13097459E-1,0.75388834E-1,0.32406469,0.86562322,0.40814226,0.17318304
-10.074315,0.95570074E-2,0.11837536,0.59187362,0.60815165,0.15330032E-1,0.15126168,0.52679054,0.35880202,0.25795867E-2,0.39931106E-1,0.14509107,0.37653760,0.81611174,0.47696769,0.67092971
-11.851642,0.21982245,0.13798317,0.66203319,0.45039596,0.31464484,0.75714618E-1,0.20031005,0.96289032E-1,0.39676178E-1,0.15991945,0.23800051,0.29917850,0.93615465,0.44051851,0.95390344E-1
-6.8717851,0.73995606,0.10296085,0.52921345E-1,0.68220688,0.22413808E-1,0.31356837E-1,0.30904260,0.49879094,0.77441924E-1,0.65866288E-1,0.39128446E-1,0.33455317,0.86248705,0.46387878,0.77793346
-9.4092955,0.41047234,0.86302773E-1,0.11378686,0.57085490,0.33857678,0.15147358,0.43324141,0.54668467,0.39654336E-1,0.43242142E-2,0.10080164,0.36697466,0.91433006,0.43908050,0.10138438
