NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,385,0.37884820,0.37846935,1.1488099,1.1488099,297.24337
1999,790,0.39361354,0.40836411,1.2422321,2.3910420,300.27250
2999,1203,0.39566140,0.39975507,1.1497109,3.5407529,290.78617
3999,1557,0.38316470,0.34568709,1.2001901,4.7409430,299.75122
4999,1918,0.37877673,0.36122924,1.1285560,5.8694990,300.15235
5999,2283,0.37755674,0.37145804,1.0762339,6.9457328,297.29136
6999,2645,0.37571614,0.36467436,1.1016891,8.0474219,296.20293
7999,3025,0.37659502,0.38274633,1.0753548,9.1227767,292.45662
8999,3393,0.37577094,0.36917907,1.0698593,10.192636,290.20925
9999,3777,0.37672373,0.38529795,1.0906448,11.283281,287.45331
10999,4172,0.37797306,0.39046503,1.0872881,12.370569,284.14355
11999,4536,0.37670417,0.36274769,1.0700049,13.440574,282.86838
12999,4913,0.37558484,0.36215395,1.0997980,14.540372,281.41672
13999,5273,0.37454048,0.36096485,1.0839372,15.624309,280.68347
14999,5668,0.37488388,0.37969117,1.0707667,16.695076,277.85460
15999,6010,0.37373297,0.35647055,1.0702703,17.765346,277.83109
16999,6383,0.37316664,0.36410583,1.0906649,18.856011,276.55384
17999,6754,0.37331530,0.37584232,1.0783062,19.934317,275.21400
18999,7117,0.37334295,0.37384074,1.0894918,21.023809,274.37887
19999,7446,0.37209993,0.34848376,1.1157348,22.139544,275.19518
20999,7787,0.37097491,0.34847554,1.0958462,23.235390,275.15154
21999,8150,0.37073119,0.36561347,1.0799141,24.315304,274.03198
22999,8541,0.37122053,0.38198556,1.0922239,25.407528,272.06968
23999,8923,0.37184840,0.38628870,1.1322801,26.539808,270.89164
24999,9302,0.37177743,0.37007418,1.1001699,27.639978,269.50018
25999,9685,0.37190955,0.37521255,1.0680940,28.708072,267.70981
26999,10070,0.37205357,0.37579795,1.0660260,29.774098,265.89718
27999,10471,0.37233591,0.37995877,1.0949640,30.869062,263.93623
28999,10870,0.37267418,0.38214531,1.0757191,31.944781,261.93545
29999,11238,0.37234227,0.36271716,1.0724287,33.017210,260.78249
30999,11596,0.37199692,0.36163671,1.0693612,34.086571,259.86454
31999,11946,0.37151907,0.35670646,1.0736871,35.160258,259.16636
32999,12293,0.37137243,0.36668011,1.0647769,36.225035,258.45515
33999,12658,0.37144838,0.37395434,1.0728281,37.297863,257.36056
34999,13021,0.37137975,0.36904656,1.0976748,38.395538,256.47842
35999,13419,0.37196859,0.39257733,1.0849130,39.480451,254.73261
36999,13807,0.37223274,0.38174190,1.2335851,40.714036,254.16563
37999,14169,0.37189569,0.35942503,1.1426189,41.856655,253.55343
38999,14516,0.37193412,0.37339464,1.3793020,43.235957,254.61439
39999,14884,0.37187967,0.36975596,1.1194170,44.355374,253.65171
40999,15264,0.37202278,0.37774723,1.0764861,45.431860,252.20873
41999,15627,0.37179413,0.36241985,1.0675662,46.499426,251.05881
42999,16035,0.37229253,0.39322464,1.0699389,47.569365,249.09022
43999,16425,0.37222362,0.36926067,1.0667169,48.636082,247.47401
44999,16813,0.37263857,0.39089594,1.0698910,49.705973,245.93414
45999,17190,0.37271725,0.37625791,1.0804081,50.786381,244.65504
46999,17563,0.37260177,0.36728961,1.1273811,51.913762,243.67220
47999,17957,0.37291433,0.38760446,1.0749338,52.988696,242.09788
48999,18311,0.37282618,0.36859513,1.0803421,54.069038,241.21269
49999,18700,0.37300841,0.38193713,1.0793471,55.148385,239.76276
