SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
-9.1311069,0.39704171,0.12197968,0.45201866,0.52464709,0.44989818,0.11634500,0.35729176,0.37501635,0.19861053E-1,0.27831874E-1,0.13800477,0.37017700,0.86676369,0.32204850,0.29473304
-7.8633665,0.38192103,0.14282473,0.55188636,0.45534830,0.48572590,0.88066507E-1,0.21247095,0.20796374,0.28242519E-1,0.92623510E-1,0.60830712E-1,0.32365686,0.87482649,0.36333533,0.19080120
-16.609442,0.26458965,0.12033489,0.53128688,0.48553854,0.32170650,0.21073374,0.30652926,0.26515098,0.43516963E-1,0.14028726,0.22179167,0.28898339,0.91411263,0.42726974,0.13222106
-10.939100,0.53053023,0.11168395,0.64763139,0.45490561,0.58016181,0.74653704E-1,0.14083648,0.18862623,0.11707591E-1,0.62659272E-1,0.24413613,0.30807315,0.91484171,0.50345927,0.22573380
-8.2875798,0.25188262,0.21002054,0.59549668,0.51198026,0.34209210,0.48010646E-1,0.29337732,0.42348740E-2,0.60847422E-2,0.92049764E-1,0.47902137E-1,0.33438177,0.86908257,0.25849726,0.57444802E-1
-9.5609692,0.26829022,0.12403294,0.45118779,0.49891539,0.29186112,0.21806055,0.35490131,0.32737109,0.31149132E-1,0.93422877E-1,0.18815068,0.35232026,0.83420314,0.41230882,0.21326921
-7.7084603,0.22861510,0.10893983,0.37667195,0.51330703,0.37918445,0.13773088,0.28884616,0.30228741,0.39123257E-1,0.34807146E-1,0.14451040,0.31951702,0.93692594,0.42595666,0.19120669
-9.9454520,0.37428908,0.12312491,0.26093182,0.51301454,0.53515689,0.17783039,0.15410639,0.27939916,0.34013098E-1,0.17429349,0.35996961E-1,0.34957438,0.89576165,0.41957415,0.45135047
-9.7833895,0.38290176,0.20160608,0.46038494,0.58330551,0.19523584,0.13840605,0.36503937,0.11730799,0.12967290,0.14804870,0.26592393E-1,0.32935453,0.89193777,0.49018013,0.20280932
-8.5789317,0.56659445,0.17568852,0.49878592,0.69499864,0.18741656,0.61300451E-1,0.38264829,0.53383711E-1,0.39193422E-1,0.32924320E-1,0.40524929E-1,0.34718227,0.83391868,0.65091163,0.30885691
