NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,233,0.22027702,0.22005674,1.1965280,1.1965280,101.50973
1999,713,0.36279343,0.50516734,1.2196701,2.4161980,65.359342
2999,1180,0.39346125,0.45476623,1.4220560,3.8382540,61.216898
3999,1617,0.40293752,0.43135683,1.3983331,5.2365870,59.532579
4999,2012,0.40288253,0.40266262,1.1601770,6.3967640,57.189360
5999,2375,0.39745525,0.37032430,1.0880988,7.4848628,55.545561
6999,2733,0.39122646,0.35385993,1.1130061,8.5978689,54.321040
7999,3040,0.38317601,0.32683089,1.1075442,9.7054131,54.145989
8999,3385,0.37857983,0.34181503,1.0736859,10.779099,52.908340
9999,3688,0.37177918,0.31058014,1.0683100,11.847409,52.401013
10999,4003,0.36491728,0.29630514,1.1124210,12.959830,51.790757
11999,4313,0.36028142,0.30929155,1.0686970,14.028527,51.023766
12999,4646,0.35921593,0.34643111,1.1737859,15.202313,50.240274
13999,4944,0.35561403,0.30879299,1.1407762,16.343089,49.769731
14999,5272,0.35354251,0.32454324,1.1140978,17.457187,48.768864
15999,5622,0.35258016,0.33814586,1.1478438,18.605031,47.581489
16999,5926,0.34924636,0.29590890,1.0805721,19.685603,46.752476
17999,6246,0.34783367,0.32381947,1.0916481,20.777251,45.752531
18999,6526,0.34503183,0.29460141,1.0890810,21.866332,45.146638
19999,6807,0.34223606,0.28911934,1.0727048,22.939037,44.459338
20999,7105,0.34075316,0.31109650,1.0681100,24.007147,43.571029
21999,7410,0.33959419,0.31525704,1.0752041,25.082351,42.616302
22999,7734,0.33904611,0.32698887,1.0739250,26.156276,41.483434
23999,8053,0.33835443,0.32244659,1.1970410,27.353317,40.579918
24999,8384,0.33745255,0.31580824,1.0991278,28.452445,39.420754
25999,8686,0.33630175,0.30753295,1.1009541,29.553399,38.494952
26999,9024,0.33581814,0.32324472,1.1120231,30.665422,37.298722
27999,9339,0.33515328,0.31720285,1.0729339,31.738356,36.231140
28999,9672,0.33493368,0.32878509,1.0820541,32.820410,35.046443
29999,10016,0.33485784,0.33265842,1.0911620,33.911572,33.803228
30999,10326,0.33417543,0.31370388,1.0912249,35.002797,32.792665
31999,10637,0.33344002,0.31064296,1.0745962,36.077393,31.756382
32999,10960,0.33330403,0.32895240,1.0748858,37.152279,30.643850
33999,11298,0.33334720,0.33477205,1.0748641,38.227143,29.443494
34999,11603,0.33268712,0.31024491,1.0720568,39.299200,28.440522
35999,11925,0.33259956,0.32953491,1.0785563,40.377756,27.341751
36999,12262,0.33253202,0.33010075,1.0785077,41.456264,26.161195
37999,12570,0.33187340,0.30750506,1.0844033,42.540667,25.145358
38999,12887,0.33141673,0.31406392,1.1073821,43.648049,24.091610
39999,13202,0.33102923,0.31591706,1.0795038,44.727553,23.031200
40999,13553,0.33132715,0.34324345,1.1000102,45.827563,21.799624
41999,13867,0.33105093,0.31972648,1.0816598,46.909223,20.746684
42999,14219,0.33107782,0.33220701,1.0835440,47.992767,19.512356
43999,14528,0.33071347,0.31504668,1.0772171,49.069984,18.482307
44999,14844,0.33023677,0.30926276,1.0811939,50.151178,17.419797
45999,15145,0.32969864,0.30548318,1.0790391,51.230217,16.422760
46999,15506,0.32984950,0.33678873,1.0806749,52.310892,15.160915
47999,15799,0.32942872,0.30965261,1.0829411,53.393833,14.197575
48999,16127,0.32920320,0.31837836,1.0784912,54.472324,13.081870
49999,16451,0.32891500,0.31479366,1.0848639,55.557188,11.985439
50999,16776,0.32879679,0.32288632,1.0840960,56.641284,10.885283
51999,17070,0.32849002,0.31284507,1.1024399,57.743724,9.9114886
52999,17403,0.32851173,0.32964081,1.0838323,58.827556,8.7786682
53999,17723,0.32840169,0.32256945,1.0802629,59.907819,7.6967841
54999,18040,0.32843192,0.33006419,1.1020949,61.009914,6.6285716
55999,18362,0.32837074,0.32500608,1.0823901,62.092304,5.5390041
56999,18661,0.32801675,0.30819339,1.0848529,63.177157,4.5332090
57999,18979,0.32768134,0.30856340,1.0812440,64.258401,3.4568643
58999,19325,0.32785422,0.33788124,1.1545410,65.412942,2.2847987
59999,19646,0.32770736,0.31904266,1.0999629,66.512905,1.1984917
60999,19965,0.32759800,0.32103658,1.0912182,67.604123,0.11851462
61095,20000,0.32764126,0.35513024,0.10450578,67.708629,0.0000000
