SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-13.027110,0.10020258,0.15276750,0.34387216,0.50492413,0.32040503,0.15051453,0.20927269,0.42364951,0.13343780,0.29704050,0.94018938
-13.027110,0.10020258,0.15276750,0.34387216,0.50492413,0.32040503,0.15051453,0.20927269,0.42364951,0.13343780,0.29704050,0.94018938
-8.4137220,0.24076953,0.16121206,0.37535190,0.51651302,0.25281776,0.14450344,0.35546947,0.38163289,0.57965143E-1,0.31939444,0.92604979
-8.4137220,0.24076953,0.16121206,0.37535190,0.51651302,0.25281776,0.14450344,0.35546947,0.38163289,0.57965143E-1,0.31939444,0.92604979
-8.4137220,0.24076953,0.16121206,0.37535190,0.51651302,0.25281776,0.14450344,0.35546947,0.38163289,0.57965143E-1,0.31939444,0.92604979
-8.4137220,0.24076953,0.16121206,0.37535190,0.51651302,0.25281776,0.14450344,0.35546947,0.38163289,0.57965143E-1,0.31939444,0.92604979
-8.4137220,0.24076953,0.16121206,0.37535190,0.51651302,0.25281776,0.14450344,0.35546947,0.38163289,0.57965143E-1,0.31939444,0.92604979
-8.9056266,0.19236843,0.18131536,0.60338765,0.65157475,0.23460734,0.12603908,0.47249100,0.19586926,0.34875772E-1,0.34259171,0.89307090
-8.2310560,0.20853505,0.17828602,0.55026635,0.61950466,0.33707840,0.17827678,0.43830463,0.16423834,0.62644473E-1,0.35838518,0.89044720
-7.6389184,0.24812618,0.15948749,0.59400295,0.65012114,0.19360952,0.90752931E-1,0.44153370,0.23455331,0.60288221E-1,0.34992649,0.87592009
-7.3792048,0.22333525,0.17940837,0.46145850,0.57849687,0.27225970,0.16926375,0.38456343,0.28440220,0.51789630E-1,0.34139732,0.90113606
-7.2731034,0.41305693,0.15188496,0.37636310,0.59989476,0.10917811,0.14941107,0.34558512,0.38410994,0.14836369E-2,0.36950830,0.88081108
-10.018256,0.11611082,0.19148939,0.60690362,0.64517045,0.43288496,0.15886658,0.45419586,0.89427616E-1,0.63306785E-1,0.35746289,0.88032200
-10.354305,0.29735128,0.16892196,0.29847699,0.53406313,0.23806598,0.21358412,0.30680920,0.44713064,0.15142035E-1,0.33838722,0.92074249
-6.8769225,0.24824973,0.15638261,0.52320135,0.62818930,0.26256565,0.94948957E-1,0.42030908,0.27961294,0.35872700E-1,0.34772843,0.88252607
-7.7777406,0.14475236,0.17386960,0.52762847,0.62891662,0.35676192,0.11115034,0.42091115,0.23023201,0.34736861E-1,0.34237972,0.88690387
-6.6930175,0.24932291,0.16054086,0.47877210,0.60629639,0.33650157,0.99436640E-1,0.39654828,0.23420745,0.50100741E-1,0.36450152,0.86210013
-11.698862,0.89467517E-1,0.17605435,0.56327688,0.52692047,0.37865888,0.77784081E-1,0.47148003,0.19599745,0.15007920,0.30822253,0.89820758
-7.1554696,0.40342464,0.14072062,0.42926079,0.61969158,0.15723123,0.18208824,0.33935568,0.34042199,0.38728102E-1,0.37669172,0.88396207
