NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,278,0.28013988,0.27985974,1.2768734,1.2768734,12.502335
1999,775,0.39298042,0.50570812,1.1777329,2.4546063,7.0470955
2999,1188,0.40326270,0.42381699,1.1608911,3.6154974,5.5145465
3999,1582,0.40064663,0.39280102,1.1482420,4.7637393,4.2699004
4999,1957,0.39313042,0.36307311,1.2015629,5.9653022,3.1792592
5999,2349,0.39233828,0.38837837,1.0937819,7.0590842,1.9563490
6999,2708,0.38755406,0.35885350,1.0915041,8.1505883,0.87886698
7784,3000,0.38522674,0.36447659,0.84425402,8.9948423,0.0000000
