NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,432,0.41815679,0.41773863,1.3890421,1.3890421,320.14849
1999,886,0.42872256,0.43927777,1.3659918,2.7550340,308.19688
2999,1304,0.42359732,0.41335196,1.2136450,3.9686790,300.37787
3999,1671,0.40909142,0.36558824,1.3772590,5.3459380,314.57854
4999,2042,0.40310483,0.37916444,1.3573589,6.7032969,321.56785
5999,2414,0.39918995,0.37961944,1.1244071,7.8277040,316.43509
6999,2742,0.39143231,0.34489427,1.2900221,9.1177261,323.40328
7999,3104,0.38852613,0.36818573,1.1408448,10.258571,320.23663
8999,3438,0.38391166,0.34700055,1.2697883,11.528359,323.79332
9999,3770,0.38064317,0.35123001,1.2851348,12.813494,327.06698
10999,4121,0.37887127,0.36115409,1.1048822,13.918376,323.82431
11999,4515,0.37781076,0.36614620,1.2637868,15.182163,321.07837
12999,4910,0.37827225,0.38380967,1.2411869,16.423350,318.06443
13999,5280,0.37795462,0.37382566,1.1690323,17.592382,315.59667
14999,5681,0.37809970,0.38013077,1.2234478,18.815830,312.39047
15999,6056,0.37830757,0.38142536,1.1037521,19.919582,309.00350
16999,6432,0.37730196,0.36121325,1.2821498,21.201732,308.42718
17999,6773,0.37595864,0.35312352,1.2059851,22.407717,308.43116
18999,7133,0.37566598,0.37039847,1.1316941,23.539411,306.46775
19999,7515,0.37545762,0.37149882,1.2399261,24.779337,304.95236
20999,7887,0.37476071,0.36082321,1.1392088,25.918546,302.70509
21999,8294,0.37570574,0.39555050,1.2609050,27.179451,300.52071
22999,8683,0.37618771,0.38679066,1.3568351,28.536286,300.10918
23999,9049,0.37624212,0.37749332,1.1098719,29.646158,297.97190
24999,9408,0.37560612,0.36034277,1.3014998,30.947658,298.00279
25999,9806,0.37622152,0.39160604,1.0863032,32.033961,294.64319
26999,10189,0.37551217,0.35706970,1.2324481,33.266409,293.22696
27999,10585,0.37586863,0.38549273,1.2005310,34.466940,291.15366
28999,10944,0.37559698,0.36799100,1.0759678,35.542908,289.22782
29999,11293,0.37486568,0.35365871,1.1940150,36.736923,288.57011
30999,11650,0.37408400,0.35063435,1.0807331,37.817656,286.79742
31999,12025,0.37400764,0.37164073,1.1789479,38.996604,285.29948
32999,12391,0.37401912,0.37438629,1.0699811,40.066585,283.28573
33999,12751,0.37373646,0.36440894,1.2161760,41.282761,282.47821
34999,13104,0.37338478,0.36142821,1.2297750,42.512536,281.91158
35999,13483,0.37359677,0.38101600,1.0846250,43.597161,279.75195
36999,13846,0.37350774,0.37030276,1.2179470,44.815108,278.85316
37999,14209,0.37345730,0.37159132,1.0758741,45.890982,277.08025
38999,14591,0.37347119,0.37399882,1.1893487,47.080331,275.58659
39999,14968,0.37347876,0.37377382,1.0602551,48.140586,273.48278
40999,15352,0.37354394,0.37615106,1.1855731,49.326159,271.97503
41999,15715,0.37322665,0.36021842,1.1837981,50.509957,270.90243
42999,16095,0.37326766,0.37498970,1.0591578,51.569115,268.83545
43999,16446,0.37313751,0.36754150,1.2133391,52.782454,268.16157
44999,16817,0.37326272,0.37877170,1.0623469,53.844801,266.33597
45999,17175,0.37318543,0.36970766,1.1943653,55.039166,265.42177
46999,17583,0.37369455,0.39711316,1.0558548,56.095021,262.93484
47999,17965,0.37374893,0.37630481,1.1939940,57.289015,261.60336
48999,18316,0.37314930,0.34436792,1.1721609,58.461176,260.71974
49999,18697,0.37327098,0.37923328,1.0626183,59.523794,258.83634
50999,19067,0.37323197,0.37128151,1.1909509,60.714745,257.71367
51999,19433,0.37318790,0.37093997,1.0625069,61.777252,256.12144
52999,19831,0.37346586,0.38791963,1.1865170,62.963769,254.53797
53999,20187,0.37341193,0.37055389,1.0626409,64.026410,253.14013
54999,20569,0.37357002,0.38210663,1.1937661,65.220176,251.85978
55999,20943,0.37369875,0.38077878,1.1205840,66.340760,250.42742
56999,21315,0.37361793,0.36909218,1.1280160,67.468776,249.06313
57999,21655,0.37328571,0.35434948,1.1888311,68.657607,248.39438
58999,22044,0.37368942,0.39710408,1.0636618,69.721269,246.56103
59999,22439,0.37399927,0.39228014,1.2128460,70.934115,245.18565
60999,22802,0.37389066,0.36737439,1.0690980,72.003213,243.77265
61999,23178,0.37369901,0.36200830,1.2437000,73.246913,242.77221
62999,23552,0.37358018,0.36621291,1.2530422,74.499955,241.82119
63999,23892,0.37333022,0.35758323,1.0619147,75.561870,240.70244
64999,24256,0.37322700,0.36662089,1.2465560,76.808426,239.84900
65999,24653,0.37361775,0.39901617,1.0702801,77.878706,238.02080
66999,25056,0.37390504,0.39286587,1.2572880,79.135994,236.70051
67999,25459,0.37416544,0.39161201,1.1939609,80.329955,235.19679
68999,25858,0.37436736,0.38809717,1.0876570,81.417612,233.44669
69999,26243,0.37452038,0.38507855,1.2215450,82.639157,232.26065
70999,26604,0.37453841,0.37580070,1.0687411,83.707898,230.93613
71999,26953,0.37426776,0.35505193,1.2303700,84.938268,230.19648
72999,27346,0.37425986,0.37369148,1.0678930,86.006161,228.50478
73999,27725,0.37436389,0.38195760,1.2375503,87.243711,227.43153
74999,28100,0.37440664,0.37757044,1.2190049,88.462716,226.35122
75999,28506,0.37473489,0.39935289,1.0726640,89.535380,224.55772
76999,28894,0.37477683,0.37796437,1.2490499,90.784430,223.41378
77999,29301,0.37493382,0.38702196,1.0736690,91.858099,221.64007
78999,29677,0.37500534,0.38058378,1.2593429,93.117442,220.65229
79999,30061,0.37495541,0.37101118,1.0690849,94.186527,219.13148
80999,30436,0.37492906,0.37282065,1.2841942,95.470721,218.20624
81999,30785,0.37466675,0.35342050,1.3528790,96.823600,217.69191
82999,31160,0.37483654,0.38875912,1.0779390,97.901539,216.28825
83999,31541,0.37496388,0.38553302,1.2209599,99.122499,215.14306
84999,31906,0.37488432,0.36820106,1.0904820,100.21298,213.87522
85999,32301,0.37498463,0.38351065,1.2724662,101.48545,212.70126
86999,32651,0.37485688,0.36387035,1.2132449,102.69869,211.83591
87999,33038,0.37483938,0.37331692,1.2732389,103.97193,210.73214
88999,33395,0.37475162,0.36702870,1.2460072,105.21794,209.85300
89999,33778,0.37491420,0.38938411,1.2498708,106.46781,208.73087
90999,34134,0.37493085,0.37642921,1.0723410,107.54015,207.51273
91999,34524,0.37502284,0.38339363,1.2443383,108.78449,206.31367
92999,34904,0.37517990,0.38962929,1.0668728,109.85136,204.87291
93999,35292,0.37538065,0.39405035,1.2529478,111.10431,203.71012
94999,35653,0.37517985,0.35630518,1.1423421,112.24665,202.58422
95999,36034,0.37529921,0.38663799,1.1449571,113.39161,201.28788
96999,36407,0.37530480,0.37584146,1.2074170,114.59903,200.17293
97999,36782,0.37521324,0.36633171,1.0646448,115.66367,198.79359
98999,37132,0.37516339,0.37027885,1.2217011,116.88537,197.89803
99999,37517,0.37511316,0.37014002,1.0717230,117.95709,196.45262
100999,37896,0.37514680,0.37851093,1.2394481,119.19654,195.33940
101999,38264,0.37510963,0.37135522,1.3263409,120.52288,194.45434
102999,38633,0.37508997,0.37308438,1.1676612,121.69054,193.30064
103999,38997,0.37510653,0.37681224,1.2845597,122.97510,192.36993
104999,39369,0.37506121,0.37034815,1.0688393,124.04394,191.03631
105999,39740,0.37506978,0.37596951,1.2520819,125.29603,189.99342
106999,40115,0.37509586,0.37786066,1.2210920,126.51712,188.86894
107999,40483,0.37506266,0.37151074,1.0698199,127.58694,187.57483
108999,40852,0.37493979,0.36166903,1.2391822,128.82612,186.52226
109999,41227,0.37503918,0.38587333,1.0683987,129.89452,185.17696
110999,41620,0.37512566,0.38463804,1.2591171,131.15364,183.96803
111999,42011,0.37519767,0.38319051,1.2580040,132.41164,182.77162
112999,42417,0.37525207,0.38134456,1.0708451,133.48248,181.20852
113999,42798,0.37534181,0.38548294,1.2508471,134.73333,180.07888
114999,43189,0.37542623,0.38504940,1.0696347,135.80297,178.63582
115999,43575,0.37557700,0.39291551,1.2340312,137.03700,177.44837
116999,43942,0.37558989,0.37708536,1.0734239,138.11042,176.19121
117999,44311,0.37551467,0.36671409,1.2596102,139.37003,175.15691
118999,44684,0.37543182,0.36565589,1.2229791,140.59301,174.04536
119999,45070,0.37539415,0.37091122,1.0684407,141.66145,172.65284
120999,45468,0.37541608,0.37804758,1.2309461,142.89240,171.37785
121999,45861,0.37544742,0.37924015,1.0670609,143.95946,169.94442
122999,46234,0.37551431,0.38367382,1.2291493,145.18861,168.84134
123999,46611,0.37547675,0.37085769,1.2204900,146.40910,167.69937
124999,47000,0.37556769,0.38684416,1.0913470,147.50044,166.33029
125999,47373,0.37556900,0.37573226,1.2484767,148.74892,165.24623
126999,47727,0.37537040,0.35034741,1.0677500,149.81667,164.08672
127999,48107,0.37540603,0.37993054,1.2254603,151.04213,162.92908
128999,48474,0.37533830,0.36666902,1.0728219,152.11495,161.69235
129999,48838,0.37534001,0.37556063,1.2338109,153.34876,160.64600
130999,49192,0.37525328,0.36397892,1.2486820,154.59745,159.67611
131999,49550,0.37510602,0.35581484,1.0672951,155.66474,158.49215
132999,49926,0.37511316,0.37605618,1.2479181,156.91266,157.37781
133999,50292,0.37503030,0.36400982,1.0924590,158.00512,156.17033
134999,50668,0.37507063,0.38047409,1.2387149,159.24383,155.04494
135999,51027,0.37500401,0.36601081,1.2411749,160.48501,154.02497
136999,51381,0.37490558,0.36151841,1.0686238,161.55363,152.86927
137999,51747,0.37496680,0.38335416,1.2313380,162.78497,151.79359
138999,52135,0.37500175,0.37982584,1.0661213,163.85109,150.43124
139999,52535,0.37511860,0.39136028,1.2409439,165.09204,149.15948
140999,52937,0.37519208,0.38547852,1.0669460,166.15898,147.72163
141999,53298,0.37515768,0.37030798,1.2255747,167.38456,146.66955
142999,53665,0.37509046,0.36554565,1.2584772,168.64303,145.60840
143999,54038,0.37507252,0.37250668,1.0689960,169.71203,144.34850
144999,54395,0.37505307,0.37225187,1.2405870,170.95262,143.32740
145999,54772,0.37512408,0.38542127,1.0621169,172.01473,142.04123
146999,55167,0.37513492,0.37671677,1.2173061,173.23204,140.78184
147999,55546,0.37519004,0.38329302,1.2295382,174.46158,139.62328
148999,55910,0.37522772,0.38080364,1.0599718,175.52155,138.41433
149999,56290,0.37528319,0.38354828,1.2276809,176.74923,137.24834
150999,56650,0.37520837,0.36398529,1.0644870,177.81372,136.06751
151999,57023,0.37520984,0.37543200,1.2161582,179.02988,134.93094
152999,57410,0.37528578,0.38682929,1.0684960,180.09837,133.60720
153999,57798,0.37527913,0.37426153,1.2376728,181.33604,132.40499
154999,58164,0.37528992,0.37695179,1.2447460,182.58079,131.32608
155999,58550,0.37533190,0.38183784,1.0681701,183.64896,130.01280
156999,58933,0.37536199,0.38005663,1.2346911,184.88365,128.83473
157999,59286,0.37525474,0.35841665,1.0691698,185.95282,127.70103
158999,59682,0.37533060,0.38731590,1.2234471,187.17627,126.44638
159999,60052,0.37531054,0.37212053,1.2250071,188.40127,125.32895
160999,60424,0.37529139,0.37222801,1.0655701,189.46685,124.09539
161999,60819,0.37535105,0.38495706,1.2408268,190.70767,122.85827
162999,61214,0.37537292,0.37891506,1.0669382,191.77461,121.51093
163999,61564,0.37529011,0.36179232,1.2214539,192.99606,120.49244
164999,61935,0.37522816,0.36506780,1.0658128,194.06188,119.26964
165999,62319,0.37525796,0.38017489,1.2347322,195.29661,118.08552
166999,62705,0.37532420,0.38632064,1.2455490,196.54216,116.89721
167999,63050,0.37522606,0.35883627,1.0613992,197.60356,115.80415
168999,63425,0.37524386,0.37823501,1.2319798,198.83554,114.66157
169999,63811,0.37535173,0.39358101,1.0645251,199.90006,113.36891
170999,64196,0.37543202,0.38908077,1.2248027,201.12486,112.17326
171999,64598,0.37554072,0.39412998,1.2137702,202.33863,110.88876
172999,64993,0.37564498,0.39357687,1.0873289,203.42596,109.57076
173999,65372,0.37567269,0.38046613,1.2302771,204.65624,108.40782
174999,65751,0.37569434,0.37946248,1.0655770,205.72182,107.15832
175999,66127,0.37568265,0.37363601,1.2211080,206.94293,106.00477
176999,66512,0.37571769,0.38188557,1.0646760,208.00760,104.72935
177999,66903,0.37575493,0.38234545,1.2503271,209.25793,103.52017
178999,67270,0.37570404,0.36664614,1.2432721,210.50120,102.41868
179999,67692,0.37588091,0.40753988,1.0641558,211.56536,100.97580
180999,68059,0.37581915,0.36470236,1.2034690,212.76883,99.855259
181999,68406,0.37569493,0.35321167,1.0671198,213.83595,98.762285
182999,68796,0.37571917,0.38012990,1.1887033,215.02465,97.529350
