SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-15.571315,0.28785588,0.10526845,0.49079770,0.38441761,0.66667203,0.35832140,0.27981979,0.22390730,0.84834874E-1,0.37018371,0.82517444
-14.304695,0.32662873,0.13595767,0.39545856,0.38568379,0.73689332,0.63617204E-1,0.21564881,0.73260818E-1,0.68329752E-1,0.25203144,0.92732467
-11.923425,0.32034616,0.19722237,0.40417804,0.46026880,0.74002146,0.48042159E-1,0.18379518,0.13013097,0.90276357E-1,0.30420862,0.93700778
-10.522696,0.50715508,0.19408031,0.29211304,0.47986382,0.61566710,0.86567452E-1,0.98874190E-1,0.79595789E-1,0.80875667E-1,0.27542720,0.89820365
-9.3993571,0.38704878,0.18485187,0.34430862,0.46058366,0.65283679,0.13882764,0.13070890,0.99161322E-1,0.80587965E-1,0.28967437,0.91459374
-9.8822915,0.32736671,0.18004222,0.41346851,0.44206351,0.68095923,0.17268488,0.19975958,0.12210388,0.10332027,0.31458656,0.92906354
-9.1584095,0.38055584,0.18387034,0.36146126,0.45384709,0.66504557,0.14685774,0.15193235,0.91926722E-1,0.73374291E-1,0.28979862,0.92094516
-9.9611782,0.33726003,0.15271473,0.43280949,0.43937078,0.73172366,0.18961089,0.27713385,0.89522428E-1,0.73073467E-1,0.30974362,0.93442599
-10.099018,0.32014999,0.11637263,0.43251598,0.41133378,0.84592671,0.87306486E-1,0.17093993,0.83650055E-1,0.35467145E-1,0.29088610,0.91008301
-8.6289382,0.36940612,0.16892887,0.36679163,0.47862214,0.70558957,0.15377008,0.12654742,0.10527941,0.62625933E-1,0.30605814,0.90657696
-11.670337,0.16055059,0.17069581,0.50243076,0.46135134,0.66746091,0.28899219,0.19364448,0.19336161,0.48535108E-2,0.32589569,0.95274246
-15.031735,0.43442863,0.22721081,0.39307307,0.51575799,0.66114568,0.11746201,0.24499649E-1,0.86928975E-1,0.96694190E-1,0.31385742,0.92644908
-10.781819,0.55860996,0.18944041,0.33212751,0.50298482,0.58440979,0.12412908,0.12994984,0.69552320E-1,0.29169109E-1,0.26934957,0.91309579
-10.659523,0.60135510,0.18488507,0.42944932,0.48016985,0.59341310,0.17199973E-1,0.11468685,0.10828951,0.76633769E-1,0.27856185,0.91589425
-11.644737,0.18018944,0.15997988,0.50844319,0.48377856,0.57697688,0.34244580,0.13290462,0.23100840,0.37129730E-1,0.33770879,0.93075762
-10.309752,0.56888484,0.22058096,0.39540847,0.49920892,0.67795373,0.32974539E-1,0.18526384,0.43879667E-1,0.77049784E-1,0.28889146,0.96371511
-9.9035276,0.24408636,0.15199531,0.37993007,0.41155615,0.61933827,0.14234387,0.85679023E-1,0.20013110,0.58499184E-1,0.27948035,0.91786740
-11.522934,0.56542323,0.15106138,0.36074066,0.59109377,0.68590570,0.13457861,0.15736038,0.12771917,0.13154813E-1,0.33285331,0.82657421
-11.985868,0.30254537,0.16651431,0.42563729,0.41755229,0.57648780,0.25754645,0.19025306,0.13064129,0.80159478E-1,0.28989458,0.94551127
-9.6222682,0.36868034,0.15579509,0.42504172,0.45180322,0.79384857,0.14001205,0.17363045,0.81847444E-1,0.85499965E-1,0.32387425,0.91137055
-9.0126897,0.58309198,0.19959708,0.32919494,0.52231563,0.54590548,0.11571755,0.12805399,0.98040651E-1,0.48137899E-1,0.27953330,0.92211419
-13.236881,0.36071912,0.19418142,0.50924630,0.46587474,0.71708290,0.17124067,0.36125280,0.18864182,0.14300981E-1,0.35500728,0.85970234
-9.9782944,0.43084180,0.17495531,0.38099479,0.47308106,0.62203174,0.15765515,0.81214613E-1,0.59273918E-1,0.80223620E-1,0.27363027,0.94430530
-11.352423,0.46776215,0.18645195,0.54829336,0.48632012,0.65107530,0.17728661,0.12643481,0.94620528E-1,0.89512565E-1,0.33049400,0.88392443
-12.698823,0.11229136,0.11662730,0.33922312,0.37266907,0.65284305,0.86457531E-1,0.35378613,0.29514575,0.54060691E-1,0.27539781,0.96590733
-16.158723,0.55251963,0.12716401,0.25643710,0.54451628,0.73659571,0.48297984E-1,0.44323953,0.12220316,0.42358286E-1,0.30819693,0.87277458
-9.2212244,0.52258623,0.14651576,0.16986971,0.57652443,0.49676106,0.13376375,0.10767603,0.24670790,0.80417822E-1,0.30943557,0.89247717
-9.3746490,0.86764868,0.18059996,0.12790437E-1,0.69784765,0.28026149,0.10694207,0.67044097E-1,0.26173628,0.99339047E-2,0.28496778,0.93251049
-9.2115337,0.74841775,0.17927597,0.11592822,0.62027466,0.27963917,0.79061942E-1,0.76523953E-1,0.28901142,0.26053625E-1,0.27069992,0.92222142
-12.339999,0.21120937,0.15464633,0.49740153,0.36273059,0.74900143,0.56459181E-1,0.21185042,0.20204007,0.42641473E-1,0.29321170,0.94229563
-8.6384780,0.55990375,0.17327482,0.37369534,0.55863977,0.40961213,0.17256224,0.19128634,0.30066113,0.13301276E-1,0.32322862,0.89988913
