NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,8,0.11081475E-1,0.11070393E-1,1.2446909,1.2446909,15557.391
1999,96,0.49615726E-1,0.88111443E-1,1.1259179,2.3706088,2467.0136
2999,617,0.20287893,0.50925209,1.2000573,3.5706661,575.14345
3999,1075,0.26460420,0.44971826,1.3184137,4.8890798,449.90904
4999,1514,0.29879945,0.43554625,1.1173551,6.0064349,390.71978
5999,1935,0.32009312,0.42654016,1.1937830,7.2002180,364.90407
6999,2343,0.33283982,0.40930733,1.0644979,8.2647159,344.47604
7999,2744,0.34080394,0.39654481,1.0827270,9.3474429,331.30281
8999,3111,0.34429468,0.37221711,1.0711081,10.418551,324.47540
9999,3472,0.34669975,0.36834297,1.0595841,11.478135,319.11331
10999,3891,0.35198566,0.40483947,1.0935597,12.571695,310.52506
11999,4279,0.35581393,0.39792107,1.0635800,13.635275,305.02037
12999,4668,0.35870393,0.39338100,1.0668790,14.702154,300.25401
13999,5071,0.36122754,0.39403199,1.0695829,15.771737,295.24654
14999,5444,0.36278142,0.38453420,1.0762002,16.847937,292.62923
15999,5807,0.36342574,0.37308987,1.0636597,17.911597,290.53677
16999,6182,0.36445377,0.38090113,1.0639172,18.975514,287.97230
17999,6549,0.36492965,0.37301930,1.0698919,20.045406,286.03806
18999,6938,0.36687438,0.40187743,1.0663660,21.111772,283.18013
19999,7334,0.36849290,0.39924325,1.0638590,22.175631,280.19185
20999,7732,0.36952560,0.39017861,1.0729899,23.248621,277.43194
21999,8095,0.36945238,0.36791483,1.0686400,24.317261,276.08127
22999,8467,0.36974630,0.37621228,1.0699451,25.387206,274.44988
23999,8846,0.37022170,0.38115521,1.1273260,26.514532,273.22017
24999,9235,0.37082064,0.38519471,1.0695770,27.584109,271.10684
25999,9653,0.37230163,0.40932486,1.0797579,28.663867,268.27871
26999,10034,0.37295540,0.38995288,1.0652192,29.729086,266.55441
27999,10439,0.37385943,0.39826729,1.0749130,30.803999,264.28173
28999,10857,0.37504581,0.40826322,1.0667880,31.870787,261.67980
29999,11247,0.37580372,0.39778241,1.0797379,32.950525,260.02115
30999,11637,0.37600368,0.38200225,1.0694013,34.019926,258.32283
31999,12025,0.37667287,0.39741720,1.0749118,35.094838,256.75413
32999,12397,0.37681241,0.38127744,1.0743361,36.169174,255.58830
33999,12802,0.37751851,0.40081918,1.0665398,37.235714,253.62285
34999,13200,0.37758192,0.37973757,1.0684342,38.304148,251.87879
35999,13585,0.37763101,0.37934930,1.0690341,39.373182,250.45517
36999,13975,0.37775089,0.38206644,1.1336451,40.506827,249.34525
37999,14340,0.37787459,0.38245145,1.0753708,41.582198,248.39129
38999,14731,0.37796562,0.38142452,1.0712259,42.653424,246.89531
39999,15106,0.37806874,0.38209026,1.0700271,43.723451,245.72082
40999,15463,0.37791241,0.37165944,1.0720770,44.795528,244.89941
41999,15842,0.37792215,0.37832137,1.0786529,45.874181,243.69898
42999,16194,0.37740343,0.35561760,1.0761292,46.950310,242.97380
43999,16559,0.37739737,0.37713686,1.1729529,48.123263,242.49370
44999,16950,0.37767773,0.39001350,1.0825760,49.205839,241.09410
45999,17329,0.37745884,0.36760887,1.0747719,50.280611,239.87237
46999,17706,0.37766994,0.38738058,1.0747693,51.355380,238.68969
47999,18064,0.37749726,0.36938123,1.0762949,52.431675,237.82339
48999,18412,0.37700584,0.35341827,1.0746360,53.506311,237.09933
49999,18802,0.37729000,0.39121349,1.0903292,54.596640,235.78013
50999,19158,0.37696928,0.36093368,1.1365340,55.733174,235.18015
51999,19543,0.37703700,0.38049052,1.0754538,56.808628,233.87667
52999,19932,0.37710456,0.38061776,1.0732701,57.881898,232.51494
53999,20316,0.37723992,0.38441354,1.0738339,58.955732,231.23787
54999,20699,0.37757138,0.39547026,1.0720351,60.027767,229.97546
55999,21063,0.37744568,0.37053217,1.3831818,61.410949,230.14747
56999,21446,0.37761663,0.38718992,1.0707972,62.481746,228.86277
57999,21848,0.37791301,0.39480606,1.0739839,63.555730,227.34380
58999,22246,0.37814730,0.39173592,1.0754182,64.631148,225.89815
59999,22592,0.37804623,0.37208304,1.0757778,65.706926,225.13464
60999,22977,0.37818285,0.38638036,1.0857332,66.792659,223.90090
61999,23370,0.37844735,0.39458145,1.0762177,67.868877,222.54138
62999,23776,0.37879929,0.40061903,1.0912173,68.960094,221.08068
63999,24135,0.37856673,0.36391554,1.0685890,70.028683,220.12538
64999,24536,0.37879745,0.39356338,1.1050940,71.133777,218.78217
65999,24914,0.37863081,0.36779928,1.1381390,72.271916,217.81364
66999,25303,0.37850484,0.37019137,1.1001329,73.372049,216.60167
67999,25690,0.37855136,0.38166805,1.0909011,74.462950,215.38894
68999,26039,0.37840160,0.36821771,1.0916898,75.554640,214.60489
69999,26430,0.37848408,0.38417528,1.0952151,76.649855,213.36095
70999,26802,0.37839903,0.37244540,1.1580410,77.807896,212.49841
71999,27157,0.37809110,0.35622845,1.1162460,78.924142,211.69758
72999,27549,0.37822067,0.38754988,1.0848281,80.008970,210.41526
73999,27941,0.37822554,0.37858126,1.0815558,81.090526,209.13003
74999,28342,0.37841307,0.39228990,1.0789850,82.169511,207.75185
75999,28717,0.37825792,0.36662158,1.0853462,83.254857,206.66003
76999,29099,0.37823563,0.37654213,1.0775778,84.332435,205.47971
77999,29453,0.37797868,0.35819313,1.0806150,85.413050,204.58474
78999,29843,0.37805943,0.38435800,1.1240580,86.537108,203.43745
79999,30216,0.37807292,0.37913889,1.0722609,87.609369,202.33427
80999,30575,0.37790037,0.36409631,1.0708699,88.680239,201.36143
81999,30967,0.37788924,0.37698773,1.1455240,89.825763,200.24355
82999,31338,0.37797334,0.38486975,1.2136734,91.039436,199.46869
83999,31712,0.37794221,0.37535867,1.1021938,92.141630,198.41598
84999,32077,0.37784344,0.36954666,1.1693399,93.310970,197.58584
85999,32476,0.37795582,0.38750813,1.1958473,94.506817,196.49829
86999,32841,0.37781491,0.36569624,1.1308298,95.637647,195.57653
87999,33226,0.37780766,0.37717724,1.0931618,96.730809,194.39906
88999,33610,0.37786761,0.38314298,1.0955112,97.826320,193.23682
89999,33959,0.37766886,0.35998066,1.0892830,98.915603,192.36389
90999,34340,0.37774741,0.38481657,1.0924580,100.00806,191.22100
91999,34705,0.37762477,0.36646464,1.1011200,101.10918,190.22976
92999,35081,0.37763686,0.37874935,1.1042178,102.21340,189.15058
93999,35472,0.37775430,0.38867615,1.1003382,103.31374,187.94060
94999,35865,0.37780972,0.38301920,1.0929742,104.40671,186.70359
95999,36234,0.37777207,0.37419552,1.1703207,105.57703,185.79856
96999,36584,0.37752983,0.35427501,1.0891469,106.66618,184.89893
97999,37009,0.37783215,0.40715648,1.1361313,107.80231,183.48443
98999,37383,0.37778987,0.37364609,1.1683750,108.97069,182.52728
99999,37741,0.37759648,0.35845190,1.0826719,110.05336,181.54824
100999,38138,0.37770895,0.38895488,1.0827870,111.13614,180.26913
101999,38518,0.37780294,0.38729655,1.0799139,112.21606,179.11801
102999,38905,0.37774084,0.37140675,1.0825741,113.29863,177.92006
103999,39282,0.37772800,0.37640494,1.1473539,114.44599,176.89861
104999,39666,0.37775402,0.38045987,1.0930591,115.53904,175.74075
105999,40031,0.37754440,0.35553489,1.1586721,116.69772,174.82065
106999,40366,0.37735647,0.35743605,1.1541359,117.85185,174.10636
107999,40744,0.37739098,0.38108381,1.1080711,118.95992,173.00926
108999,41102,0.37715621,0.35180079,1.0889721,120.04890,172.02666
109999,41477,0.37717847,0.37960537,1.0791638,121.12806,170.90863
110999,41850,0.37712346,0.37107170,1.1517520,122.27981,169.90612
111999,42231,0.37722201,0.38816174,1.0847890,123.36460,168.75399
112999,42606,0.37719251,0.37388860,1.0948811,124.45948,167.65778
113999,42982,0.37715634,0.37306883,1.0891929,125.54867,166.54726
114999,43371,0.37722828,0.38542887,1.1063201,126.65499,165.37192
115999,43734,0.37726058,0.38097578,1.1670678,127.82206,164.44954
116999,44122,0.37728414,0.38001654,1.0911722,128.91323,163.26127
117999,44502,0.37730114,0.37928982,1.0901129,130.00335,162.12588
118999,44869,0.37727123,0.37374295,1.0947821,131.09813,161.08162
119999,45263,0.37733910,0.38541529,1.0915997,132.18973,159.85837
120999,45626,0.37731526,0.37445427,1.0885561,133.27829,158.83210
121999,46016,0.37737054,0.38405986,1.0909772,134.36926,157.63626
122999,46394,0.37740697,0.38185073,1.1270421,135.49630,156.55936
123999,46771,0.37750538,0.38960985,1.1044641,136.60077,155.46220
124999,47147,0.37749737,0.37650388,1.1111069,137.71188,154.37856
125999,47540,0.37760323,0.39083587,1.1443620,138.85624,153.22672
126999,47924,0.37760590,0.37794200,1.1722879,140.02853,152.16020
127999,48281,0.37749093,0.36288965,1.1866863,141.21521,151.27088
128999,48655,0.37747793,0.37581456,1.1469860,142.36220,150.23301
129999,49034,0.37746466,0.37575268,1.1483178,143.51052,149.16501
130999,49429,0.37753413,0.38656492,1.1365499,144.64707,147.98897
131999,49828,0.37762176,0.38910127,1.0783820,145.72545,146.73150
132999,50216,0.37762159,0.37759920,1.0865140,146.81196,145.54896
133999,50571,0.37752219,0.36430190,1.0913951,147.90336,144.56339
134999,50963,0.37746634,0.36998239,1.0798080,148.98317,143.35277
135999,51339,0.37741471,0.37044542,1.0788798,150.06204,142.23435
136999,51740,0.37747545,0.38573627,1.2663822,151.32843,141.15017
137999,52099,0.37752098,0.38375741,1.1213717,152.44980,140.16580
138999,52434,0.37743080,0.36498665,1.0827060,153.53250,139.27847
139999,52822,0.37741627,0.37539704,1.0851712,154.61768,138.09687
140999,53203,0.37744632,0.38165252,1.0846338,155.70231,136.95470
141999,53573,0.37747519,0.38154669,1.0755122,156.77782,135.86553
142999,53948,0.37747835,0.37792704,1.0652847,157.84311,134.74069
143999,54380,0.37765201,0.40248417,1.0687990,158.91191,133.31300
144999,54741,0.37747785,0.35239910,1.0759223,159.98783,132.27543
145999,55109,0.37739341,0.36514991,1.0735507,161.06138,131.19829
146999,55471,0.37734211,0.36985196,1.0723960,162.13377,130.15188
147999,55826,0.37729640,0.37057786,1.1002102,163.23398,129.16380
148999,56241,0.37746417,0.40229386,1.0698562,164.30384,127.83862
149999,56645,0.37751266,0.38473774,1.1421478,165.44599,126.62920
150999,57011,0.37748613,0.37350588,1.1068358,166.55282,125.58874
151999,57377,0.37730621,0.35013839,1.1000772,167.65290,124.54241
152999,57759,0.37737338,0.38758402,1.0868630,168.73976,123.40478
153999,58150,0.37742166,0.38480887,1.1282599,169.86802,122.25240
154999,58532,0.37737021,0.36944620,1.0753579,170.94338,121.10777
155999,58907,0.37740675,0.38307064,1.0686033,172.01199,119.99403
156999,59276,0.37736509,0.37086681,1.0702829,173.08227,118.91157
157999,59644,0.37734230,0.37376386,1.0646379,174.14691,117.83034
158999,60021,0.37733517,0.37620826,1.0689499,175.21586,116.70840
159999,60412,0.37739344,0.38665843,1.0733290,176.28919,115.52235
160999,60789,0.37733378,0.36778784,1.0658691,177.35505,114.40012
161999,61158,0.37730032,0.37191319,1.0660591,178.42111,113.31687
162999,61524,0.37720781,0.36222163,1.0657389,179.48685,112.24784
163999,61923,0.37729954,0.39225126,1.0642941,180.55115,111.02250
164999,62283,0.37722437,0.36489634,1.0698528,181.62100,109.98506
165999,62656,0.37725800,0.38280753,1.1303692,182.75137,108.92280
166999,63038,0.37724390,0.37490298,1.0934820,183.84485,107.79646
167999,63408,0.37722242,0.37363593,1.0659249,184.91078,106.70980
168999,63741,0.37707717,0.35267417,1.0817041,185.99248,105.80162
169999,64117,0.37709291,0.37975325,1.2803979,187.27288,104.80704
170999,64515,0.37714075,0.38527326,1.0956368,188.36851,103.60779
171999,64905,0.37718579,0.38488875,1.0698192,189.43833,102.43184
172999,65265,0.37711857,0.36555700,1.0754550,190.51379,101.39426
173999,65606,0.37702456,0.36076022,1.0736799,191.58747,100.43989
174999,65993,0.37705820,0.38291178,1.0803170,192.66779,99.284066
175999,66381,0.37704736,0.37514962,1.0721471,193.73993,98.120589
176999,66740,0.37694155,0.35831894,1.0583899,194.79832,97.078097
177999,67116,0.37699642,0.38670822,1.0952229,195.89355,95.979548
178999,67491,0.37701867,0.38098038,1.0877142,196.98126,94.881744
179999,67904,0.37714829,0.40034963,1.0607889,198.04205,93.608000
180999,68291,0.37717782,0.38249307,1.0554950,199.09754,92.445330
181999,68633,0.37703702,0.35155209,1.0472770,200.14482,91.471196
182999,69025,0.37709059,0.38684099,1.0558970,201.20072,90.288913
183999,69403,0.37706808,0.37294876,1.0688529,202.26957,89.172544
184999,69749,0.37697604,0.36004040,1.0666101,203.33618,88.189405
185999,70128,0.37691665,0.36592930,1.0679510,204.40413,87.068792
186999,70498,0.37693118,0.37963353,1.0658610,205.46999,85.985074
187999,70864,0.37688772,0.36876110,1.0688710,206.53886,84.919230
188999,71245,0.37692241,0.38344359,1.0680702,207.60693,83.791668
189999,71630,0.37693414,0.37915116,1.0674038,208.67434,82.648206
190999,71961,0.37677541,0.34661698,1.0704103,209.74475,81.725282
191999,72345,0.37680742,0.38292183,1.0807769,210.82553,80.591332
192999,72729,0.37682159,0.37954171,1.0918710,211.91740,79.462103
193999,73116,0.37688250,0.38863846,1.0983059,213.01570,78.323679
194999,73487,0.37690044,0.38038194,1.1029840,214.11869,77.250789
195999,73866,0.37690644,0.37807626,1.0693278,215.18801,76.134129
196999,74242,0.37693844,0.38321043,1.0658181,216.25383,75.028504
197999,74613,0.37687797,0.36496532,1.0969961,217.35083,73.953406
198999,74950,0.37679240,0.35984989,1.1256549,218.47648,73.019825
199999,75313,0.37674048,0.36640801,1.1080611,219.58454,71.978060
200999,75706,0.37678252,0.38518967,1.1032999,220.68784,70.818568
201999,76093,0.37683919,0.38823056,1.1256540,221.81350,69.689660
202999,76509,0.37693059,0.39539378,1.1592901,222.97279,68.460622
203999,76879,0.37683751,0.35794146,1.0599830,224.03277,67.376809
204999,77248,0.37681062,0.37132489,1.0568612,225.08963,66.296076
205999,77614,0.37677151,0.36875380,1.1686778,226.25831,65.259084
206999,78002,0.37681630,0.38604418,1.0571821,227.31549,64.107154
207999,78433,0.37696364,0.40746188,1.0633850,228.37888,62.798149
208999,78790,0.37688508,0.36054385,1.0562649,229.43514,61.763160
209999,79163,0.37684493,0.36845476,1.0602541,230.49540,60.670169
210999,79539,0.37680591,0.36861083,1.1115592,231.60696,59.579702
211999,79900,0.37672522,0.35970153,1.1002779,232.70723,58.540868
