SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Backs par SMW,Backs par H2O,Scalefactor 1,SLD D2O,SLD SMW,SLD H2O
-13.244721,0.49112663,0.10187825,0.43742951,0.48445006,0.30835590,0.42649565,0.12439020,0.43403419,0.28917582E-1,0.33474366E-1,0.99318640E-1,0.38939349,0.86237756,0.58851590,0.29013436
-13.244721,0.49112663,0.10187825,0.43742951,0.48445006,0.30835590,0.42649565,0.12439020,0.43403419,0.28917582E-1,0.33474366E-1,0.99318640E-1,0.38939349,0.86237756,0.58851590,0.29013436
-13.079199,0.55071550,0.18584021,0.31189823,0.56314883,0.24941420,0.26323498,0.65045277E-1,0.37081911,0.42385396E-1,0.45348730E-1,0.65679527E-1,0.31664605,0.94795889,0.60022768,0.51290268
-12.147175,0.52005950,0.17859247,0.51167786,0.56793237,0.38523330,0.53000717E-1,0.30984106,0.13048674,0.10113179,0.90226367E-1,0.30716380E-1,0.28015200,0.97434944,0.55210686,0.66817097
-8.4561544,0.50893767,0.16264497,0.50570747,0.53691382,0.39203071,0.14709977,0.25286888,0.18851608,0.74552805E-1,0.10392296,0.56614177E-1,0.31718600,0.93293040,0.53127524,0.53538452
-7.9188191,0.43536925,0.17841283,0.47292542,0.50353054,0.39823869,0.20999052,0.28160566,0.21326750,0.64625504E-1,0.59311661E-1,0.60814256E-1,0.33204499,0.91928499,0.42886828,0.44304263
-8.6121136,0.46968740,0.12894406,0.45724478,0.51409562,0.45763785,0.19803315,0.33269092,0.26874967,0.65557159E-1,0.11541115,0.12157111,0.33696563,0.89888393,0.47572653,0.45338540
-6.9141224,0.50621987,0.14872707,0.41264744,0.51403751,0.43353493,0.12457791,0.28922010,0.24109642,0.91730933E-1,0.47750558E-1,0.41730635E-1,0.34679106,0.89672722,0.43264726,0.57378766
-6.8375856,0.39471669,0.18094523,0.46184922,0.52929259,0.47833140,0.14672532,0.26239964,0.20973335,0.25372063E-1,0.94171094E-1,0.41784983E-1,0.33407180,0.91393599,0.40338912,0.60954548
-8.9748575,0.44023569,0.13997855,0.42693401,0.55306070,0.49600482,0.57167825E-1,0.32154823,0.27293345,0.30535145E-1,0.68425278E-1,0.52636744E-1,0.34360835,0.85850080,0.27249720,0.76978079
-6.5885341,0.35524143,0.17637509,0.52546417,0.51588634,0.64986881,0.14338946E-1,0.34317905,0.10160270,0.27181304E-1,0.98846616E-1,0.25598271E-1,0.34171290,0.89482905,0.36210055,0.69287057
-17.152505,0.63143674,0.92552267E-1,0.47580881,0.58275502,0.17419170,0.20827114,0.11611803,0.27660807,0.15491497,0.24615491E-1,0.42260352E-1,0.34372892,0.92964294,0.51785055,0.56428328
-9.5505049,0.40462429,0.14499048,0.53337871,0.50247386,0.54582136,0.10409839,0.29579541,0.21202718,0.89757735E-2,0.88423785E-1,0.81558625E-1,0.35228448,0.85366094,0.25321281,0.55069391
-13.588486,0.43886168,0.20689257,0.57396389,0.50143645,0.36625133,0.18553506,0.23837049,0.18165277,0.32509725E-1,0.10200383,0.50633664E-1,0.29115355,0.94548274,0.48915396,0.37689069
-10.562753,0.37938363,0.13709494,0.59843245,0.50635787,0.42088672,0.11711755,0.30017103,0.12936755,0.10549476,0.78507637E-1,0.73868308E-1,0.34702928,0.92275930,0.34132649,0.63404422
-10.149474,0.45257356,0.18240899,0.29434202,0.60186664,0.34819311,0.22494693,0.22134894,0.34828816,0.38395685E-1,0.51040134E-1,0.12643805,0.34398676,0.89790990,0.32122169,0.74676609
