NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,407,0.40921450,0.40880529,1.1395199,1.1395199,15.659300
1999,916,0.45858459,0.50790531,1.2029591,2.3424790,13.001270
2999,1376,0.46313752,0.47223882,1.0846620,3.4271410,11.516788
3999,1802,0.45195310,0.41841105,1.0963340,4.5234749,10.538040
4999,2183,0.43717488,0.37807674,1.0705359,5.5940108,9.7811907
5999,2515,0.42113522,0.34095297,1.0608411,6.6548519,9.2215344
6999,2902,0.41402471,0.37136878,1.1598628,7.8147147,8.3425176
7999,3260,0.40710128,0.35864421,1.0677292,8.8824439,7.4656124
8999,3615,0.40225579,0.36349672,1.0593748,9.9418187,6.5591252
9999,3945,0.39646482,0.34435181,1.1254263,11.067245,5.7650668
10999,4338,0.39393218,0.36860834,1.0697038,12.136949,4.6499790
11999,4688,0.39037676,0.35127069,1.0625989,13.199548,3.6940714
12999,5053,0.38811420,0.36096578,1.0633640,14.262912,2.6730610
13999,5412,0.38564626,0.35356543,1.0785732,15.341485,1.6668132
14999,5753,0.38320664,0.34905450,1.0640597,16.405545,0.70435765
15720,6000,0.38216060,0.36039980,0.76495314,17.170498,0.0000000
