NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,13,0.13670116E-1,0.13656446E-1,1.3645360,1.3645360,2097.9217
1999,165,0.84705990E-1,0.15567083,1.3456891,2.7102251,325.80191
2999,689,0.23462894,0.53432492,1.0662310,3.7764561,105.84491
3999,1120,0.28343060,0.42978678,1.0510321,4.8274882,81.377658
4999,1526,0.30526447,0.39257810,1.0513310,5.8788192,71.169926
5999,1882,0.31383505,0.35667936,1.0450838,6.9239030,66.656363
6999,2217,0.31857186,0.34698802,1.1242383,8.0481412,64.555749
7999,2565,0.32242428,0.34938735,1.0770419,9.1251831,62.026342
8999,2923,0.32449412,0.34105074,1.0431468,10.168330,59.406285
9999,3235,0.32436773,0.32323042,1.0401232,11.208453,58.086466
10999,3535,0.32343700,0.31413058,1.0486400,12.257093,57.089969
11999,3872,0.32368027,0.32635596,1.0478659,13.304959,55.419003
12999,4199,0.32328165,0.31849865,1.0426331,14.347592,53.990546
13999,4543,0.32375943,0.32997004,1.0403490,15.387941,52.355581
14999,4835,0.32298040,0.31207486,1.0450540,16.432995,51.542166
15999,5145,0.32265242,0.31773302,1.0471618,17.480157,50.469919
16999,5472,0.32245223,0.31924939,1.0504282,18.530585,49.198161
17999,5807,0.32322250,0.33631640,1.0444331,19.575018,47.843677
18999,6130,0.32372451,0.33276006,1.0448539,20.619872,46.655404
19999,6437,0.32335583,0.31635130,1.0493970,21.669269,45.657961
20999,6793,0.32448281,0.34702130,1.0507262,22.719995,44.172380
21999,7118,0.32470400,0.32934870,1.0472689,23.767264,43.013472
22999,7442,0.32465640,0.32360942,1.0492558,24.816520,41.876627
23999,7791,0.32531438,0.34044728,1.0513082,25.867828,40.536557
24999,8117,0.32550580,0.33009966,1.0500641,26.917892,39.406839
25999,8471,0.32661939,0.35445795,1.0565288,27.974421,38.073085
26999,8767,0.32565970,0.30070863,1.0541730,29.028594,37.193817
27999,9129,0.32670420,0.35490481,1.0560811,30.084675,35.825447
28999,9458,0.32637619,0.31719222,1.0514719,31.136147,34.704722
29999,9812,0.32707548,0.34735426,1.0504942,32.186641,33.420047
30999,10160,0.32724868,0.33244442,1.4005618,33.587203,32.529338
31999,10491,0.32737902,0.33141938,1.0615940,34.648797,31.405530
32999,10840,0.32783306,0.34236195,1.0553811,35.704178,30.170689
33999,11168,0.32781239,0.32713024,1.0551031,36.759281,29.070377
34999,11512,0.32818759,0.34094419,1.0580819,37.817363,27.883407
35999,11814,0.32765884,0.30915306,1.0615211,38.878884,26.939440
36999,12147,0.32773670,0.33053952,1.0599871,39.938871,25.820363
37999,12466,0.32768098,0.32561919,1.0665448,41.005416,24.782192
38999,12784,0.32741501,0.31730861,1.0601783,42.065594,23.744159
39999,13118,0.32745752,0.32911530,1.0553238,43.120918,22.622211
40999,13440,0.32749335,0.32892664,1.0631161,44.184034,21.566017
41999,13756,0.32716287,0.31361352,1.0574551,45.241489,20.535611
42999,14115,0.32768768,0.34972913,1.0817099,46.323199,19.313640
43999,14454,0.32792225,0.33800847,1.0751481,47.398347,18.186746
44999,14813,0.32831623,0.34565117,1.0648949,48.463242,16.970150
45999,15114,0.32798619,0.31313447,1.0625720,49.525814,16.010528
46999,15445,0.32802572,0.32984432,1.0608680,50.586682,14.918895
47999,15778,0.32808557,0.33089805,1.0582390,51.644921,13.819550
48999,16107,0.32809470,0.32853312,1.0557830,52.700704,12.737558
49999,16432,0.32811409,0.32906415,1.0554349,53.756139,11.672463
50999,16761,0.32816110,0.33051183,1.0632682,54.819407,10.593644
51999,17108,0.32841935,0.34158950,1.0545259,55.873933,9.4451376
52999,17451,0.32863391,0.33979078,1.0576751,56.931608,8.3157796
53999,17766,0.32846612,0.31957361,1.0634398,57.995048,7.2926341
54999,18092,0.32848679,0.32960306,1.0573292,59.052377,6.2277214
55999,18443,0.32874779,0.34310264,1.0623307,60.114708,5.0750203
56999,18796,0.32888236,0.33641787,1.0539641,61.168672,3.9182316
57999,19127,0.32886577,0.32791991,1.0571399,62.225812,2.8401283
58999,19447,0.32890345,0.33108892,1.0544293,63.280241,1.7994536
59999,19744,0.32858861,0.31001343,1.0599658,64.340207,0.83423283
60672,20000,0.32888649,0.35544311,0.71228099,65.052488,0.0000000
