SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-7.8382710,0.41499372,0.16708107,0.33990653,0.58299758,0.42961211,0.24858396E-1,0.46108020,0.24420774,0.78397303E-1,0.33507664,0.86600024
-9.9258970,0.40143202,0.18313399,0.40466010,0.52102646,0.34607437,0.76194307E-1,0.22125466,0.61463048E-1,0.53408644E-1,0.26846322,0.93643373
-11.062864,0.53996070,0.18527004,0.70548410,0.62475482,0.24358631,0.23571022,0.24890867,0.30295390E-1,0.68349147E-1,0.37067914,0.85904784
-9.1764302,0.31996619,0.74359396E-1,0.37501985,0.63807263,0.37007679E-1,0.19922489,0.21947060,0.32224202,0.27620501E-1,0.35395911,0.84699349
-9.8976188,0.47141454,0.16045336,0.41030044,0.70429040,0.18007168,0.20312221,0.27932784,0.19661491,0.92452258E-1,0.35010839,0.85397779
-6.0655446,0.28158809,0.15687883,0.44216255,0.58784110,0.63636469E-1,0.19482525E-1,0.37010122,0.16613250,0.10704914E-1,0.34485513,0.85551416
-10.053109,0.30431786,0.13257906,0.32461905,0.56325891,0.58129451E-1,0.13583306,0.20859283,0.28800327,0.90388238E-2,0.29501027,0.98198729
-8.7852659,0.26252800,0.17807395,0.23945909,0.62891322,0.15407687E-1,0.83611216E-2,0.38849069,0.38936363,0.89711930E-1,0.33933795,0.85753299
-7.8381995,0.40875550,0.10054745,0.32851583,0.59692725,0.29773250,0.36014478E-1,0.42157752,0.34288043,0.56251892E-1,0.35386606,0.84014619
-8.1790213,0.35711974,0.99173617E-1,0.34434286,0.49137188,0.37964650,0.96119171E-1,0.28616060,0.20799386,0.41331741E-1,0.34282639,0.88258806
-10.511196,0.14317041,0.11721763,0.14677797,0.52639124,0.27142464,0.31133129,0.92717804E-1,0.48188001,0.70300981E-2,0.32862985,0.89247082
-13.299972,0.39567018,0.84302509E-1,0.25125216,0.42792524,0.58785983,0.38384938,0.19160645,0.40446993,0.22602318E-1,0.35787856,0.93375208
-7.8436507,0.39618731,0.14464425,0.29689268,0.52029511,0.28981634,0.29117379,0.58656895E-1,0.23269822,0.22738770E-1,0.32761179,0.87302466
-7.2353027,0.61253634,0.13925620,0.10882831,0.58952959,0.22371865,0.10455512,0.80464409E-1,0.37227534,0.43251181E-1,0.28659367,0.94333871
-7.5896106,0.45010403,0.11744065,0.15633203,0.57579495,0.22639172,0.27788820,0.25399495,0.39373151,0.98726984E-2,0.36103138,0.85072578
-9.1315439,0.52854736,0.14277908,0.24023469,0.61145053,0.32654356E-1,0.13228016,0.45169718,0.33660851,0.62328812E-1,0.37649069,0.88606144
-6.9177828,0.28794081,0.12938600,0.29669559,0.46135634,0.56658037,0.91316699E-1,0.14605768,0.20318223,0.27423065E-1,0.29597530,0.92066489
-9.8500937,0.55244503,0.16464730,0.11758585,0.70576738,0.22109243E-1,0.13335499,0.36201768,0.51497185,0.49062654E-1,0.38029570,0.86061634
-9.9886162,0.51852840,0.12685097,0.39752815,0.65818171,0.14180231,0.13184664,0.41400476,0.32172728,0.10853976,0.37821289,0.89927081
-6.7434845,0.50423052,0.15815079,0.50832177,0.64603409,0.14286414,0.13978216,0.28238894,0.18973294,0.16191750E-1,0.33950278,0.88088776
-6.8808504,0.35090941E-1,0.12536126,0.30315695,0.51213176,0.32691379,0.44162399E-1,0.29161492,0.27601478,0.21449228E-1,0.32179474,0.85476603
-7.0984156,0.27543750,0.16188162,0.34484072,0.65371644,0.19210316,0.82222520E-1,0.23661656,0.28450917,0.54585080E-1,0.33487621,0.86933337
-9.5492618,0.55051769,0.91999816E-1,0.13668042,0.64013791,0.32182304E-1,0.19007099,0.26788030,0.50885901,0.68789444E-1,0.34662585,0.94162216
-9.0616421,0.83136005,0.17689507,0.12976832,0.63742215,0.27409981,0.71278184E-1,0.70010679E-1,0.16117649,0.48063960E-1,0.32946780,0.84014350
-13.713027,0.75975739,0.18161166,0.33470954,0.56032793,0.39910475,0.11735646,0.60148200E-1,0.10246597,0.45800504E-1,0.36652616,0.87366857
-11.180274,0.37399058,0.14639752,0.65100458,0.56414569,0.34589425,0.14217440,0.35016112,0.24910074,0.27036365E-1,0.38365135,0.86332368
-12.763583,0.46677119,0.15468529,0.14562573,0.69935877,0.20458069E-1,0.20589184,0.31100238,0.52826031,0.72002164E-1,0.32469019,0.83728591
-10.602040,0.24303988,0.93624846E-1,0.33742035,0.50602143,0.82231489E-1,0.24471544,0.28635297,0.45368170,0.10228440,0.34052232,0.90947453
-11.371245,0.17866945,0.16008912,0.40138571,0.60253478,0.31397545,0.22983867,0.33779281,0.17238520,0.42682898E-1,0.40237808,0.83853685
-15.535308,0.38389053,0.18791277,0.19673514,0.59217604,0.21317738E-2,0.21120592,0.20077397,0.42523031,0.78698141E-1,0.36353171,0.87895764
-10.032736,0.74017547,0.15724183,0.19043835,0.74093255,0.17911572,0.20530804,0.34010661,0.41501130,0.37962608E-1,0.36414593,0.90914529
-8.4237077,0.60513664,0.18203076,0.22170136,0.76151177,0.11360209,0.93234008E-1,0.30365064,0.19007105,0.62919942E-1,0.32055178,0.89824258
-7.6648456,0.99615354E-1,0.15413001,0.52271727,0.63437495,0.24693300,0.19107579,0.38740811,0.18598518,0.15143993E-1,0.36562245,0.90317625
-9.8964154,0.39319682,0.12132815,0.21773933,0.55898353,0.55556631,0.13359190,0.14708465,0.13815491,0.58478323E-1,0.31688441,0.90822877
-7.9893343,0.45275942,0.18538510,0.35698676,0.65937360,0.16174741,0.62599052E-1,0.39579512,0.36299959,0.48176661E-1,0.34546440,0.93023823
-10.231396,0.24202524,0.12105734,0.23603047,0.42122935,0.56480094,0.84864812E-1,0.29754726,0.36209428,0.65179052E-1,0.32225844,0.88732525
-5.9319109,0.54077680,0.13496502,0.21078040,0.69819435,0.12502469,0.78352582E-1,0.25852790,0.36717267,0.25409698E-1,0.34983854,0.85069559
-9.2377407,0.66691622,0.12314344,0.16657275,0.64602547,0.18085788,0.26814952,0.29640369,0.44915800,0.42895771E-1,0.36437270,0.84546717
-7.6267645,0.26329022,0.88094622E-1,0.37123023,0.59573228,0.10653250,0.96408200E-1,0.28826955,0.29232223,0.59819833E-1,0.34271038,0.86714921
-7.9802049,0.97642888E-1,0.16417555,0.58456075,0.44862715,0.47172135,0.30324115,0.19146817,0.26710607E-1,0.57944206E-2,0.34065983,0.89935759
-11.241033,0.77941863,0.22555803,0.22272539,0.69728942,0.22009064,0.12609611,0.26816952,0.31838962,0.78384304E-1,0.33714313,0.91571269
-12.963367,0.91443233E-1,0.17538086,0.43664554,0.54183171,0.21655569,0.74494890E-1,0.16767946E-1,0.29658207E-1,0.10766813,0.27400067,0.87373269
-10.587153,0.75998796E-1,0.13944446,0.16691270,0.58649949,0.15170728,0.17477684,0.16285160,0.50484460,0.11542750E-1,0.31032530,0.95126880
-6.3388980,0.23747664,0.14753883,0.40782593,0.53037437,0.36090353,0.63538987E-1,0.14161125,0.18161888,0.55774582E-1,0.30225027,0.90257176
-10.250463,0.18298608,0.11554032,0.50181677,0.50868886,0.17022563,0.27104370,0.22803773,0.15608075,0.90149646E-1,0.35256157,0.88588504
-7.6410079,0.55238889,0.11183775,0.23944339,0.52067483,0.40559849,0.19342409E-1,0.21237081,0.27354017,0.35998371E-1,0.28681560,0.91500768
-10.340314,0.58078562,0.24085816,0.48891950,0.66986758,0.32107665,0.89775264E-1,0.39274884,0.10093778,0.10094495,0.32317924,0.91976370
-7.7335895,0.37362111,0.12062320,0.19715362,0.55901475,0.32274615,0.13332534,0.43002405,0.39596193,0.21011708E-1,0.35849304,0.88828923
-7.8512359,0.78381385,0.18649395,0.14270555,0.68971173,0.12204213,0.31055125E-1,0.13122791,0.22635331,0.59333902E-1,0.30487996,0.87754933
-8.1457656,0.11439634,0.15023609,0.56848674,0.50556418,0.53555628,0.12082717,0.33199222,0.16959248,0.46228665E-1,0.35677366,0.86940645
