ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,0.33337980,0.0000000,1,3,-41.228153,0.22222000,0.27273000,0.40000000,0.50000000,0.40000000,0.50000000,0.33333000,0.20000000,0.0000000,0.33333000,1.0000000
1,0,0.33335657,0.0000000,1,3,-28.878799,0.54399014E-1,0.93378649E-1,0.41950965,0.55606068,0.37256801,0.42013140,0.33277408,0.10083292,0.55658813E-1,0.44273173,0.88554252
1,0,0.35762709E-1,0.0000000,2,79,-17.510086,0.31302026E-1,0.17241858,0.44077998,0.54266583,0.25050448,0.35445752,0.35933949,0.23823723,0.14511444,0.37696166,0.80666546
1,0,0.27107976E-1,0.0000000,3,72,-17.021883,0.28474874E-1,0.77867050E-1,0.35895545,0.50473138,0.32732291,0.41560828,0.40991296,0.34546177,0.24964660E-1,0.40178687,0.84290878
1,0,0.27309348E-1,0.0000000,3,36,-14.895368,0.15696128E-1,0.16492809,0.27343704,0.61573948,0.74336664E-1,0.41708431,0.19542079,0.35086949,0.86859865E-1,0.36681795,0.90458973
1,0,0.28636566E-1,0.0000000,5,26,-7.8274516,0.49254802E-1,0.10915633,0.34842208,0.57399025,0.17755689,0.23325216,0.25976618,0.38862339,0.13216686E-1,0.32737905,0.88833240
1,0,0.20088071E-1,0.0000000,6,103,-9.7120396,0.62427754E-1,0.18122221,0.30532825,0.57625151,0.18667317,0.20866675,0.23752734,0.32762169,0.67920397E-1,0.32430718,0.89410892
1,0,0.18896699E-1,0.0000000,6,34,-11.066184,0.87923788E-1,0.18915243,0.38831270,0.58984080,0.20204923,0.17377195,0.22516856,0.30261560,0.64619094E-1,0.29047582,0.97884668
1,0,0.18554399E-1,0.0000000,6,60,-11.323519,0.27486472,0.22069823,0.38582422,0.58204230,0.19767696,0.85224351E-1,0.22520130,0.22940058,0.10882504,0.26915322,0.95272323
1,0,0.18622394E-1,0.0000000,6,84,-8.0366243,0.42333241,0.14387582,0.23527960,0.66336246,0.20328947,0.13365767,0.38251917,0.28374227,0.48651475E-1,0.37042721,0.89576218
