ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,0.33403494,0.0000000,1,3,-41.228153,0.22222000,0.27273000,0.40000000,0.50000000,0.40000000,0.50000000,0.33333000,0.20000000,0.0000000,0.33333000,1.0000000
1,0,0.22246569,0.0000000,1,6,-40.480426,0.15394958,0.24487931,0.32152630,0.46317256,0.42339021,0.58864900,0.25737413,0.17358432,0.47831183E-1,0.35666521,0.98216100
1,0,0.14725215,0.0000000,1,16,-31.505947,0.98555425E-1,0.16211917,0.28777960,0.44522622,0.31178986,0.40979081,0.17452419,0.21138638,0.16683687E-1,0.30624208,0.80077439
1,0,0.12321844,0.0000000,3,13,-24.338137,0.25071027,0.14737761,0.37399371,0.44447474,0.25215233,0.40427798,0.15088470,0.80602256E-1,0.37198337E-1,0.43057481,0.83482100
1,0,0.12053788,0.0000000,4,2,-26.309875,0.20648647,0.22695019,0.49621353,0.41692232,0.66087106E-1,0.34963902,0.24095342,0.25483941,0.93226143E-1,0.35197859,0.84402252
1,0,0.10038993,0.0000000,4,18,-18.685783,0.20753094,0.10570717,0.54314738,0.42857218,0.18464875,0.25466095,0.12407393,0.14695061,0.14181451,0.29713124,0.93137084
1,0,0.84045660E-1,0.0000000,6,25,-18.078969,0.25872492,0.37806901E-1,0.58967135,0.47727026,0.28523452,0.32779906,0.10254772,0.19475240,0.22966130E-1,0.33875986,0.86997688
1,0,0.72019254E-1,0.0000000,6,28,-15.076501,0.38679559,0.12687454,0.56112008,0.37305398,0.37212505,0.31540579,0.35240811E-1,0.22556902,0.24212576E-2,0.30769899,0.90875363
1,0,0.36646742E-1,0.0000000,8,146,-12.106502,0.54190833,0.18147206,0.47034980,0.53431476,0.41708628,0.33868242,0.79368375E-1,0.26774520,0.62170934E-2,0.34588795,0.92863377
1,0,0.34149234E-1,0.0000000,9,32,-14.282631,0.44776792,0.60560789E-1,0.39870278,0.47619706,0.46478826,0.42240043,0.49458366E-1,0.22058489,0.38835144E-1,0.37179389,0.89444617
1,0,0.25043197E-1,0.0000000,9,182,-14.313874,0.52711916,0.13340144,0.34568563,0.44931643,0.47568650,0.40073786,0.23281130,0.26357246,0.10509704,0.38017213,0.83153160
1,0,0.26438933E-1,0.99999918,9,13,-13.493133,0.60627691,0.94498623E-1,0.39822139,0.49444979,0.57199762,0.35460904,0.19569292,0.31347636,0.56048328E-1,0.40296239,0.85198388
1,0,0.28446276E-1,0.0000000,9,1,-13.164271,0.58656872,0.89822291E-1,0.41203479,0.49068008,0.55827075,0.34831170,0.19342673,0.30988386,0.61250649E-1,0.39574357,0.85856445
1,0,0.31347292E-1,0.0000000,9,2,-13.398107,0.59555773,0.94340422E-1,0.41182360,0.49465446,0.55379858,0.34307158,0.20129529,0.31080386,0.62544257E-1,0.40073444,0.85624048
1,0,0.33178742E-1,0.0000000,9,1,-13.475966,0.60854957,0.10910656,0.39821663,0.49743480,0.57205403,0.35397898,0.22145656,0.33164579,0.61544425E-1,0.39824607,0.85487470
1,0,0.35019080E-1,0.0000000,9,1,-13.545204,0.60522361,0.11428334,0.40511281,0.49805155,0.57028456,0.35847989,0.22505831,0.33124200,0.60197901E-1,0.39807330,0.86185147
1,0,0.36988429E-1,0.0000000,9,1,-12.995377,0.56381922,0.13011909,0.39191355,0.49631320,0.56000370,0.37482296,0.23631542,0.32381523,0.53671305E-1,0.39513667,0.86680927
1,0,0.42623942E-1,0.0000000,9,4,-12.746099,0.57444853,0.12405339,0.40629107,0.49408214,0.55147358,0.35583751,0.22031591,0.33107026,0.58693662E-1,0.38953848,0.86290773
1,0,0.44558035E-1,0.0000000,9,1,-12.582780,0.56396109,0.12383141,0.41579534,0.49063115,0.54460036,0.35139090,0.22736746,0.33184331,0.62691586E-1,0.38414573,0.86386410
1,0,0.46311759E-1,0.0000000,8,1,-12.672261,0.56556268,0.12287224,0.41738826,0.48631331,0.54227423,0.34921554,0.22986655,0.33013414,0.66868153E-1,0.38454444,0.86434417
1,0,0.47844823E-1,0.0000000,8,1,-12.885152,0.58528732,0.11630318,0.41706436,0.49319063,0.55828375,0.34665818,0.22339665,0.33647865,0.62282347E-1,0.38585248,0.86407919
1,0,0.49756781E-1,0.0000000,8,1,-12.821655,0.57788991,0.10457023,0.41869061,0.49020579,0.55221806,0.34067571,0.21163395,0.33721193,0.66125726E-1,0.38332557,0.85751444
1,0,0.51207360E-1,0.0000000,8,1,-13.078361,0.58370090,0.10529529,0.42033250,0.48689119,0.55363923,0.34587455,0.21552947,0.34003702,0.66340280E-1,0.38552134,0.85709443
1,0,0.53104945E-1,0.0000000,8,1,-12.640142,0.53575253,0.12241535,0.41786138,0.47762253,0.51543837,0.34866998,0.23851204,0.33593822,0.75808455E-1,0.37979943,0.85735107
1,0,0.54643774E-1,0.0000000,8,1,-12.833656,0.54469071,0.12251857,0.41428088,0.48024432,0.52643550,0.35415025,0.23986276,0.32696420,0.80725828E-1,0.38408628,0.86447358
