ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,0.91920410E-1,0.0000000,1,11,-41.228153,0.22222000,0.27273000,0.40000000,0.50000000,0.40000000,0.50000000,0.33333000,0.20000000,0.0000000,0.33333000,1.0000000
1,0,0.11832680,0.0000000,1,5,-41.353601,0.27918507,0.29747667,0.44288474,0.53551803,0.32481754,0.56375895,0.32855799,0.32766069,0.93083190E-1,0.31567639,0.94724454
1,0,0.14122324,0.0000000,1,3,-41.589310,0.20072785,0.14414496,0.44139703,0.52420098,0.16728044,0.52739508,0.28429368,0.29817443,0.26009292,0.29895655,0.87258790
1,0,0.12280974,0.0000000,1,11,-22.095181,0.30879787,0.59137370E-1,0.32238850,0.37895899,0.26460291,0.47898819,0.16849869,0.34244781,0.84950861E-1,0.36031261,0.82514581
1,0,0.15110620,0.0000000,4,1,-20.984076,0.17243528,0.15678372,0.43676128,0.45942244,0.23218434,0.58880004,0.18831859,0.40849948,0.26532263E-1,0.42092794,0.89728631
1,0,0.11868497,0.0000000,4,17,-20.472537,0.13768420,0.98946915E-1,0.45042703,0.54511586,0.18495525,0.51154740,0.38139114,0.36171516,0.13356769,0.42258220,0.85271762
1,0,0.37008538E-1,0.0000000,4,141,-18.916420,0.65780487E-1,0.14646800,0.49248158,0.71000115,0.10969278,0.43250616,0.40836104,0.32970256,0.93864430E-1,0.45272509,0.81060495
1,0,0.32346004E-1,0.0000000,5,66,-9.9516900,0.17193991,0.15626594,0.53360646,0.63745793,0.92083205E-1,0.34268619,0.34940240,0.17388336,0.14364087E-1,0.41234424,0.82882964
1,0,0.19956874E-1,0.0000000,8,186,-11.298419,0.11045439,0.96008709E-1,0.54761382,0.60396770,0.10014745,0.24267096,0.24898113,0.35442381,0.67564629E-1,0.37559047,0.83436607
1,0,0.19915631E-1,0.0000000,8,31,-13.064267,0.18278734,0.11926592,0.46727045,0.61239087,0.57071020E-1,0.58552738E-1,0.35662636,0.19340162,0.18975092,0.33837922,0.89529522
1,0,0.20288224E-1,0.0000000,8,61,-9.6039575,0.60976703E-1,0.11312765,0.48421847,0.64404174,0.10853504,0.97505231E-2,0.36077684,0.18191062,0.86435882E-1,0.35050860,0.89391897
1,0,0.20605701E-1,0.99999969,8,39,-9.7022532,0.71528238E-1,0.18574854,0.58729936,0.58313299,0.66644646E-1,0.15509885,0.40019209,0.18236799,0.78970091E-1,0.32939984,0.84555539
1,0,0.22314941E-1,0.0000000,8,1,-9.4169311,0.64326531E-1,0.18852666,0.59075554,0.58283928,0.67354247E-1,0.13853413,0.40183330,0.17813412,0.73972876E-1,0.32711091,0.84905062
1,0,0.25386740E-1,0.0000000,8,3,-9.7347018,0.58279064E-1,0.19097450,0.59941265,0.58772902,0.68662291E-1,0.13001307,0.41289915,0.16692992,0.69912505E-1,0.32434592,0.85065086
1,0,0.27075845E-1,0.0000000,8,1,-9.1226562,0.62070249E-1,0.17592370,0.59251574,0.58015487,0.58127407E-1,0.11259302,0.40357634,0.16451055,0.75209206E-1,0.32469797,0.84304899
1,0,0.28214260E-1,0.0000000,8,1,-9.5008759,0.71587140E-1,0.17644824,0.58435156,0.57149281,0.71252912E-1,0.14195352,0.39660618,0.17826472,0.73884295E-1,0.32676885,0.84313016
1,0,0.29892647E-1,0.0000000,8,1,-9.1570056,0.66566496E-1,0.16801221,0.58772077,0.56855873,0.66529632E-1,0.14831202,0.38998972,0.18233865,0.67379503E-1,0.33206777,0.83508903
1,0,0.31565246E-1,0.0000000,8,1,-8.7020379,0.56186373E-1,0.17165355,0.59514619,0.58466590,0.60648195E-1,0.14578300,0.40362606,0.18074967,0.62191287E-1,0.33846003,0.83071469
