ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,0.91055089E-1,0.0000000,20,1,-7.3167714,0.61866239E-1,0.15828513,0.52844477,0.50602328,0.46004232,0.10509421,0.29328077,0.36805163E-1,0.29353887E-1,0.33808565,0.83314078
1,0,0.93784653E-1,0.0000000,15,1,-7.2421684,0.70069042E-1,0.15252591,0.54648343,0.49017148,0.43952139,0.13776892,0.28850495,0.36309402E-1,0.36272786E-1,0.34434939,0.84208989
1,0,0.95596723E-1,0.0000000,15,1,-7.6002501,0.46362038E-1,0.13890746,0.55126699,0.48047908,0.46075169,0.10545946,0.28360798,0.37407769E-1,0.31365344E-1,0.34398398,0.84059693
1,0,0.98332916E-1,0.0000000,15,2,-7.7777714,0.71361751E-1,0.13834457,0.57153802,0.47141430,0.44916723,0.15625005,0.28185216,0.38383237E-1,0.39597808E-1,0.35489349,0.85371399
1,0,0.10100849,0.0000000,15,1,-7.7114769,0.67916626E-1,0.13924429,0.55859401,0.47153249,0.45125560,0.14645954,0.28995650,0.42303970E-1,0.36478443E-1,0.35408569,0.85539354
1,0,0.10366822,0.0000000,15,1,-7.2941376,0.60631349E-1,0.14693036,0.54202928,0.47821359,0.44500527,0.14753942,0.28012312,0.42224276E-1,0.40495447E-1,0.35145164,0.85984280
1,0,0.10568431,0.0000000,15,1,-7.5335108,0.62377325E-1,0.14499323,0.52959980,0.48798188,0.45772317,0.13353462,0.28031380,0.29138275E-1,0.39004306E-1,0.35173856,0.85852529
1,0,0.10831465,0.0000000,15,1,-7.3912004,0.69655553E-1,0.14353439,0.51581688,0.49456922,0.46761090,0.10484127,0.27894206,0.33328410E-1,0.31066268E-1,0.34893355,0.85847609
1,0,0.11092956,0.0000000,15,1,-6.9927226,0.53849409E-1,0.14937464,0.51057795,0.49287237,0.46861054,0.10949565,0.28011978,0.35857898E-1,0.24431695E-1,0.34469094,0.86287553
1,0,0.11306355,0.0000000,15,1,-7.1661798,0.62291458E-1,0.14650422,0.51131926,0.49848041,0.46702789,0.91898289E-1,0.26438073,0.29496579E-1,0.25446194E-1,0.34569696,0.86020854
1,0,0.11564937,0.0000000,15,1,-7.0848237,0.53156159E-1,0.14866191,0.51362033,0.49870269,0.48116420,0.87410770E-1,0.26479005,0.29242891E-1,0.20994314E-1,0.34582370,0.86160409
1,0,0.11939692,0.0000000,15,2,-7.0113279,0.47489484E-1,0.14559093,0.52817368,0.49374538,0.47082633,0.93077156E-1,0.26362933,0.29919760E-1,0.16826537E-1,0.34597247,0.86038178
1,0,0.12194201,0.0000000,15,1,-6.8963216,0.42975248E-1,0.15805781,0.51884509,0.49434264,0.46149797,0.14282513,0.27456714,0.26337674E-1,0.23744170E-1,0.34747606,0.87043847
1,0,0.12400851,0.0000000,15,1,-7.0718464,0.55364576E-1,0.16338595,0.50192583,0.49269219,0.46187315,0.15142044,0.26806223,0.29974168E-1,0.32270639E-1,0.34705904,0.87742694
1,0,0.12601039,0.0000000,15,1,-7.2694907,0.76082502E-1,0.15910374,0.50727637,0.50168995,0.45676372,0.14800143,0.25860062,0.19715793E-1,0.36772580E-1,0.35121574,0.87223480
1,0,0.12766034,0.0000000,15,1,-7.6235360,0.86590443E-1,0.16425052,0.51108621,0.49302902,0.44075908,0.18947451,0.27319838,0.24652644E-1,0.35442782E-1,0.35582326,0.88420801
1,0,0.13015274,0.0000000,15,1,-7.5692408,0.78003863E-1,0.16026842,0.53009116,0.48771575,0.43172845,0.20206362,0.28145158,0.30240192E-1,0.32545295E-1,0.35801871,0.88252618
1,0,0.13263093,0.0000000,15,1,-7.4312145,0.84462823E-1,0.15985761,0.57172518,0.49009304,0.41519161,0.22731487,0.29406943,0.30227137E-1,0.24081731E-1,0.36249115,0.87367292
1,0,0.13310831,0.88364222,15,1,-8.6329696,0.12749794,0.16076683,0.56945934,0.47758194,0.38594407,0.26630273,0.30805131,0.38513903E-1,0.31872107E-1,0.36912292,0.88227920
1,0,0.13543383,0.0000000,15,1,-8.6800427,0.96442416E-1,0.14146258,0.53716852,0.47436130,0.41966661,0.12539860,0.30747501,0.18332735E-1,0.10746223E-1,0.35843898,0.86518658
1,0,0.13787611,0.0000000,15,1,-8.4149055,0.96514078E-1,0.14291716,0.52409212,0.47742252,0.43123476,0.10826937,0.30288189,0.17157304E-1,0.54873189E-2,0.35401806,0.86638735
1,0,0.14083331,0.0000000,15,2,-8.2044617,0.12536773,0.16062889,0.56087658,0.47366861,0.39012104,0.24438341,0.30759080,0.43743016E-1,0.26641025E-1,0.36312685,0.87952440
1,0,0.14222676,0.0000000,15,1,-8.6534185,0.13954328,0.16174517,0.56192703,0.47072944,0.38820194,0.26470068,0.30194597,0.42622874E-1,0.30664583E-1,0.36601038,0.88663997
1,0,0.14462278,0.0000000,15,1,-7.9061273,0.12866024,0.15666665,0.54762885,0.47630630,0.40623733,0.20941523,0.29883560,0.36049873E-1,0.20865916E-1,0.36111056,0.88037934
1,0,0.14694828,0.0000000,15,1,-7.9268605,0.12589000,0.14677673,0.55064877,0.48502059,0.41918699,0.15705897,0.29771313,0.23407408E-1,0.14646249E-1,0.36254782,0.86798263
1,0,0.14867233,0.0000000,15,1,-8.1913418,0.11854465,0.14245885,0.54784723,0.48280586,0.42743996,0.14266658,0.29012502,0.19273574E-1,0.15398687E-1,0.36170267,0.86796663
1,0,0.15372798,0.0000000,15,5,-7.9445876,0.12861057,0.15649348,0.55876208,0.48222816,0.40243709,0.21849032,0.29738837,0.30531886E-1,0.26898549E-1,0.36522855,0.87676724
1,0,0.15532542,0.0000000,15,3,-8.2146744,0.14452506,0.15896147,0.57902588,0.48651760,0.38909277,0.25725144,0.29957933,0.35143015E-1,0.35684249E-1,0.37134116,0.87440313
1,0,0.15927388,0.0000000,15,8,-8.2357073,0.14472428,0.15636612,0.56350350,0.48932102,0.39718243,0.22697476,0.29626184,0.29650930E-1,0.33802580E-1,0.37221680,0.87569630
1,0,0.16103740,0.0000000,15,2,-8.5070536,0.15355023,0.15969095,0.58694705,0.48899921,0.37949443,0.27063316,0.29532136,0.34494754E-1,0.38244836E-1,0.37620856,0.87709674
1,0,0.16444419,0.0000000,15,3,-7.9493585,0.14433009,0.15734819,0.57286454,0.49499777,0.39721583,0.22013515,0.29830269,0.24917166E-1,0.27776252E-1,0.37250290,0.87099398
1,0,0.16593149,0.0000000,15,1,-8.2605281,0.13134828,0.14829264,0.54114538,0.49979489,0.42631116,0.12481005,0.30059491,0.39220960E-2,0.15824646E-1,0.36520221,0.85740924
1,0,0.16771462,0.0000000,15,1,-8.4243770,0.13273526,0.14678283,0.52290992,0.49805422,0.42688205,0.10811264,0.29546657,0.33615470E-2,0.19932481E-1,0.36104488,0.85634283
1,0,0.17187310,0.0000000,15,4,-8.1948616,0.15862366,0.15575669,0.54757325,0.49139654,0.39226316,0.20522931,0.29565275,0.21010627E-1,0.36414002E-1,0.36855689,0.86877226
1,0,0.17305655,0.0000000,15,2,-8.4131717,0.17262594,0.16144660,0.54662249,0.48860972,0.37675460,0.23098691,0.29947644,0.25631917E-1,0.42969357E-1,0.36901641,0.87150041
1,0,0.17465718,0.0000000,15,1,-8.6396901,0.18555761,0.16933927,0.56618117,0.49463191,0.36013306,0.27858854,0.30455352,0.31770362E-1,0.46439223E-1,0.37247126,0.87215347
1,0,0.17631730,0.0000000,15,2,-7.9525788,0.15928992,0.15621367,0.51739513,0.49679794,0.40544539,0.15391284,0.29817208,0.16865628E-1,0.23813315E-1,0.36153033,0.86852558
1,0,0.17751765,0.0000000,15,1,-8.3863642,0.13579057,0.14303874,0.51389013,0.50066295,0.42785623,0.69878889E-1,0.28532254,0.42656317E-2,0.20759255E-2,0.35449395,0.85825011
1,0,0.17960516,0.0000000,15,1,-7.3556552,0.13574033,0.16026965,0.51536808,0.50096870,0.40793732,0.14062333,0.29254098,0.17986619E-1,0.17903936E-1,0.35523933,0.86499048
1,0,0.18009234,0.72364766,15,3,-9.1110304,0.17173405,0.18574292,0.55106648,0.50086060,0.34820829,0.31366394,0.29570708,0.44245600E-1,0.49982770E-1,0.36689418,0.88309002
1,0,0.18196468,0.0000000,15,1,-9.1886850,0.18157197,0.18561407,0.55156921,0.50435139,0.35177201,0.31843735,0.29611765,0.42845199E-1,0.53256228E-1,0.36852192,0.88159863
1,0,0.18401542,0.0000000,15,2,-8.2641442,0.17195065,0.18161060,0.51963504,0.50588419,0.37591902,0.25102975,0.29347064,0.31086872E-1,0.37217359E-1,0.36357196,0.88474828
1,0,0.18559439,0.0000000,15,2,-7.3624215,0.11862840,0.16199220,0.48582725,0.52204402,0.43725550,0.86921444E-1,0.28159315,0.81120322E-2,0.19731828E-1,0.34814058,0.85469446
