0.0057118,0.80913,0.21163,0.00028795
0.0058691,1.0752,0.23874,0.0002962
0.0060315,1.0755,0.18897,0.00030471
0.0061994,1.2951,0.22787,0.00031349
0.0063727,1.3213,0.19994,0.00032256
0.0065517,0.99676,0.12718,0.00033191
0.0067366,1.3087,0.16472,0.00034156
0.0069274,0.94947,0.097342,0.00035151
0.0071244,0.98951,0.088681,0.00036178
0.0073278,1.0361,0.080311,0.00037236
0.0075376,0.97293,0.066768,0.00038328
0.0077542,1.035,0.059054,0.00039454
0.0079777,0.94479,0.049823,0.00040615
0.0082083,1.0434,0.048259,0.00041813
0.0084461,1.0045,0.039538,0.00043047
0.0086915,0.9574,0.033601,0.0004432
0.0089447,0.92857,0.029145,0.00045633
0.0092057,0.95709,0.026996,0.00046986
0.009475,0.96495,0.024872,0.00048381
0.0097527,1.0356,0.024179,0.00049819
0.010039,0.96068,0.020667,0.00051301
0.010334,0.98929,0.019574,0.00052829
0.010639,1.0348,0.019004,0.00054404
0.010953,1.0228,0.017656,0.00056028
0.011277,1.021,0.016143,0.00057701
0.01161,1.0071,0.014936,0.00059426
0.011954,0.99918,0.014062,0.00061204
0.012309,1.0089,0.013298,0.00063036
0.012675,1.0072,0.012407,0.00064925
0.013052,0.98556,0.011377,0.00066871
0.01344,0.98748,0.010934,0.00068877
0.013841,0.98214,0.010377,0.00070944
0.014254,0.87823,0.0091905,0.00073075
0.014679,0.5477,0.0063914,0.00075271
0.015118,0.29895,0.0042078,0.00077534
0.01557,0.20403,0.0032352,0.00079865
0.016036,0.15495,0.0026677,0.00082269
0.016516,0.12663,0.0023018,0.00084745
0.017011,0.092231,0.0019088,0.00087297
0.017521,0.076761,0.0016965,0.00089927
0.018046,0.062979,0.0014926,0.00092637
0.018588,0.054176,0.0013568,0.0009543
0.018959,0.049216,0.005119,0.0009825
0.019517,0.033476,0.0027462,0.0010118
0.020093,0.030784,0.0022798,0.001042
0.020687,0.028541,0.0019449,0.0010732
0.021299,0.026371,0.0017941,0.0011053
0.02193,0.021513,0.0011848,0.0011384
0.02258,0.018216,0.00090338,0.0011725
0.023251,0.013495,0.00059985,0.0012076
0.023942,0.014918,0.00061434,0.0012439
0.024655,0.011625,0.00043752,0.0012812
0.025389,0.010568,0.00038864,0.0013197
0.026146,0.009357,0.00032322,0.0013594
0.026926,0.0083579,0.00027507,0.0014003
0.027731,0.0071568,0.00023078,0.0014424
0.02856,0.0064795,0.00020002,0.0014859
0.029414,0.0053461,0.00016428,0.0015306
0.030295,0.0050876,0.00014855,0.0015768
0.031202,0.004162,0.00012079,0.0016243
0.032137,0.0037583,0.00010698,0.0016734
0.033101,0.0033047,9.3559e-05,0.0017239
0.034095,0.0030501,8.4502e-05,0.0017759
0.035118,0.002803,7.6113e-05,0.0018296
0.036173,0.0025113,6.6973e-05,0.0018849
0.03726,0.0022857,6.0845e-05,0.0019419
0.038381,0.0020586,5.3916e-05,0.0020006
0.039535,0.0018433,4.8078e-05,0.0020612
0.040725,0.0016424,4.3597e-05,0.0021236
0.04195,0.0016172,4.1052e-05,0.0021879
0.043214,0.0013918,3.5466e-05,0.0022542
0.044515,0.0013502,3.3549e-05,0.0023225
0.045856,0.0012032,3.0163e-05,0.002393
0.047238,0.001153,2.8017e-05,0.0024656
0.048662,0.0011496,2.68e-05,0.0025404
0.05013,0.00099878,2.3916e-05,0.0026176
0.051642,0.00090928,2.2253e-05,0.0026971
0.052362,0.00093364,7.4057e-05,0.0026466
0.053931,0.00085039,5.3373e-05,0.0027267
0.055549,0.0007389,4.183e-05,0.0028093
0.057216,0.00080543,4.0271e-05,0.0028944
0.058934,0.00066525,3.0974e-05,0.0029822
0.060705,0.00068005,2.8859e-05,0.0030727
0.062529,0.00062689,2.3624e-05,0.0031661
0.064409,0.00061871,2.139e-05,0.0032623
0.066347,0.00057996,1.8549e-05,0.0033615
0.068343,0.00057708,1.7363e-05,0.0034638
0.070401,0.00047824,1.413e-05,0.0035693
0.072521,0.00045306,1.2523e-05,0.0036781
0.074705,0.00044581,1.1641e-05,0.0037903
0.076956,0.00040641,1.0238e-05,0.003906
0.079275,0.00037577,9.1872e-06,0.0040253
0.081665,0.00037196,8.6233e-06,0.0041484
0.084128,0.00032986,7.5105e-06,0.0042754
0.086665,0.00030196,6.6373e-06,0.0044064
0.08928,0.00028539,6.1e-06,0.0045415
0.091974,0.00026766,5.5463e-06,0.0046809
0.09475,0.00024604,5.0224e-06,0.0048248
0.09761,0.00023099,4.5376e-06,0.0049732
0.10056,0.000206,4.0827e-06,0.0051263
0.10359,0.00018355,3.6626e-06,0.0052844
0.10672,0.00015789,3.176e-06,0.0054476
0.10995,0.0001401,2.8324e-06,0.005616
0.11327,0.00012388,2.5242e-06,0.0057899
0.11669,0.00010764,2.233e-06,0.0059694
0.12022,9.1264e-05,1.9598e-06,0.0061548
0.12385,7.7687e-05,1.7269e-06,0.0063462
0.12759,6.6643e-05,1.5243e-06,0.006544
0.13145,5.4644e-05,1.3232e-06,0.0067482
0.13542,4.6118e-05,1.1597e-06,0.0069593
0.13952,3.6927e-05,1.0042e-06,0.0071773
0.14374,2.8406e-05,8.6519e-07,0.0074027
0.14808,2.1887e-05,7.4033e-07,0.0076357
0.15256,1.524e-05,6.1526e-07,0.0078765
0.15717,1.1539e-05,5.3438e-07,0.0081256
0.16193,7.3846e-06,4.4587e-07,0.0083832
0.16682,4.8089e-06,3.7568e-07,0.0086496
0.17187,3.1754e-06,3.272e-07,0.0089254
0.17707,2.3124e-06,2.964e-07,0.0092107
