1.829976347713301e-02,5.768570816380937e-03,9.594242547010841e-04
1.875709074418527e-02,4.438424311585502e-03,7.811113863791066e-04
1.922584702393765e-02,4.435415847044200e-03,7.137153342450233e-04
1.970631793752127e-02,3.435345213271077e-03,5.716069172688320e-04
2.019879624399179e-02,2.806040321703290e-03,4.633918192806096e-04
2.070358201871249e-02,1.940899932874353e-03,3.526699526557201e-04
2.122098283619527e-02,2.513183498239490e-03,3.696527407747997e-04
2.175131395751097e-02,1.750308335942914e-03,2.843191011249883e-04
2.229489852238332e-02,1.413258537211887e-03,2.321153626003002e-04
2.285206774608339e-02,1.095500561074354e-03,1.901565126330213e-04
2.342316112124469e-02,8.144035352727882e-04,1.522659180537496e-04
2.400852662472177e-02,4.515202150453135e-04,1.042114762860969e-04
2.460852092961842e-02,1.978191243807676e-04,6.568025831863113e-05
2.522350962261456e-02,3.052776099709920e-04,7.648312811060304e-05
2.585386742672450e-02,1.887923090445635e-04,5.751875905336132e-05
2.649997842962188e-02,1.294276456656186e-04,4.512162408823526e-05
2.716223631767090e-02,2.382214456117231e-04,5.795675675249853e-05
2.784104461580603e-02,1.645747089197623e-04,4.570333289861238e-05
2.853681693340657e-02,1.913723782191590e-04,4.648733062019416e-05
2.924997721631588e-02,2.335211509149367e-04,4.893150524157193e-05
2.998096000515869e-02,3.250605310487373e-04,5.513061446347855e-05
3.073021070011414e-02,1.725577884040528e-04,3.792534133991944e-05
3.149818583230558e-02,2.301067968849716e-04,4.195370052411585e-05
3.228535334197272e-02,1.916028813022399e-04,3.669250965639729e-05
3.309219286359555e-02,1.437230271709447e-04,3.046524233603861e-05
3.391919601814372e-02,1.525979304730761e-04,3.005464912942537e-05
3.476686671262955e-02,7.327910017275318e-05,2.024702236140398e-05
3.563572144714702e-02,5.419970175380672e-05,1.624376046717742e-05
3.652628962958412e-02,7.164457713574254e-05,1.845748026751820e-05
3.743911389819998e-02,2.623380615136205e-05,1.065374631271347e-05
3.837475045226349e-02,3.165347000936647e-05,1.132518452782575e-05
