Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.00871803	 0.881017	 0.0231571	 0.000506217
0.00906496	 0.867152	 0.019409	 0.000526483
0.00942605	 0.813957	 0.0168092	 0.000547571
0.00980185	 0.742516	 0.0141995	 0.000569514
0.010193	 0.716365	 0.0121325	 0.000592347
0.0106	 0.699338	 0.0108513	 0.000616106
0.0110236	 0.717447	 0.0101999	 0.000640827
0.0114644	 0.673295	 0.00895705	 0.00066655
0.0119231	 0.63929	 0.00829271	 0.000693314
0.0124004	 0.621609	 0.00738678	 0.000721161
0.012897	 0.575128	 0.00665443	 0.000750136
0.0134138	 0.540918	 0.00621425	 0.000780283
0.0139516	 0.490669	 0.00518763	 0.000811649
0.0145111	 0.43538	 0.00491737	 0.000844284
0.0150933	 0.393	 0.00414567	 0.000878238
0.0156991	 0.332788	 0.00371272	 0.000913566
0.0163294	 0.287499	 0.00327614	 0.000950322
0.0169852	 0.235742	 0.00283342	 0.000988564
0.0176675	 0.187577	 0.00245593	 0.00102835
0.0183774	 0.150024	 0.00213058	 0.00106975
0.019116	 0.108133	 0.00172877	 0.00111282
0.0198844	 0.0774671	 0.00142715	 0.00115763
0.0206839	 0.058324	 0.00127468	 0.00120425
0.0215157	 0.0359593	 0.00103308	 0.00125276
0.022381	 0.0251633	 0.000884827	 0.00130322
0.0232814	 0.0187522	 0.0007618	 0.00135573
0.024218	 0.0159609	 0.000711654	 0.00141036
0.0251925	 0.0151184	 0.000716622	 0.0014672
0.0262064	 0.0164736	 0.000753793	 0.00152634
0.0270488	 0.0171132	 0.000571783	 0.00157758
0.028116	 0.0188298	 0.000571633	 0.00164017
0.0292522	 0.0215481	 0.000586971	 0.00170654
0.0303895	 0.0215385	 0.000558403	 0.00177344
0.0315959	 0.0218704	 0.000547139	 0.00184418
0.0328504	 0.021104	 0.000527342	 0.00191775
0.0339122	 0.0177459	 0.000525601	 0.00198263
0.0352752	 0.0155231	 0.000445792	 0.00206255
0.0366933	 0.0131884	 0.000379125	 0.00214571
0.0381688	 0.00980243	 0.000282086	 0.00223224
0.0397038	 0.00674177	 0.000200198	 0.00232229
0.0413008	 0.00407326	 0.000129301	 0.00241599
0.0429623	 0.00229704	 8.34481e-05	 0.0025135
0.0446909	 0.000962926	 4.79877e-05	 0.00261497
0.0464893	 0.000279071	 2.70823e-05	 0.00272056
0.0483602	 0.000117875	 1.93034e-05	 0.00283045
0.0503067	 0.000290024	 2.40347e-05	 0.00294482
0.0523318	 0.000535899	 2.94845e-05	 0.00306384
0.0544385	 0.000634265	 3.13012e-05	 0.00318771
0.0566303	 0.000640067	 3.13402e-05	 0.00331664
0.0589105	 0.000444466	 2.51566e-05	 0.00345084
0.0612826	 0.000226873	 1.89098e-05	 0.00359052
0.0637505	 7.84798e-05	 1.30689e-05	 0.00373591
0.0663179	 7.90786e-05	 1.38544e-05	 0.00388727
0.0689889	 0.00023579	 1.89669e-05	 0.00404483
0.0717675	 0.000445178	 2.54926e-05	 0.00420886
0.0746583	 0.00057388	 2.97925e-05	 0.00437964
0.0780867	 0.000485465	 2.49169e-05	 0.00458545
0.0814161	 0.000331516	 2.05636e-05	 0.00478403
0.084049	 0.000171629	 1.80168e-05	 0.00493542
0.08699	 7.899e-05	 1.16885e-05	 0.00511422
0.0903595	 3.79091e-05	 9.88209e-06	 0.00531578
0.0938419	 5.79147e-05	 9.54591e-06	 0.00552458
0.0975036	 7.54376e-05	 9.47062e-06	 0.00574403
0.101368	 7.23773e-05	 9.0308e-06	 0.00597537
0.10474	 3.57729e-05	 8.14526e-06	 0.00618422
0.108957	 1.27013e-05	 5.94795e-06	 0.00643711
0.113345	 1.82353e-05	 5.25587e-06	 0.00670066
0.11791	 4.43251e-05	 6.07585e-06	 0.00697537
0.122659	 4.62159e-05	 5.70098e-06	 0.00726175
0.1276	 2.00545e-05	 3.91159e-06	 0.00756034
0.132739	 8.30683e-06	 3.10848e-06	 0.00787172
0.138087	 2.36159e-05	 3.63059e-06	 0.0081965
0.143649	 3.22693e-05	 4.00607e-06	 0.00853532
0.149436	 1.5915e-05	 3.02529e-06	 0.00888886
0.155456	 -3.95743e-07	 2.35559e-06	 0.00925786
0.16172	 1.23094e-06	 2.10824e-06	 0.00964308
0.168235	 -7.43086e-07	 1.88815e-06	 0.0100453
0.175013	 -5.23736e-07	 1.85769e-06	 0.0104655
0.182065	 1.0379e-06	 1.94427e-06	 0.0109045
0.189401	 4.1699e-06	 2.11561e-06	 0.0113634
0.197032	 7.74135e-07	 1.9419e-06	 0.0118432
0.204972	 3.41795e-06	 2.32879e-06	 0.012345
0.213231	 2.72353e-06	 2.05896e-06	 0.01287
0.221823	 1.63602e-06	 2.33756e-06	 0.0134197
0.230762	 7.74934e-07	 2.11241e-06	 0.0139953
0.240061	 -7.08986e-08	 2.25566e-06	 0.0145984
0.249735	 3.63204e-06	 2.26236e-06	 0.0152305
0.259798	 2.63933e-06	 2.07851e-06	 0.0158936
0.270268	 1.18888e-06	 2.181e-06	 0.0165893
0.281159	 9.13171e-07	 2.30384e-06	 0.0173199
0.29249	 -2.49476e-08	 2.36733e-06	 0.0180874
