Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.0086449	 0.993863	 0.0254718	 0.000503929
0.00898888	 0.967147	 0.0210571	 0.000524103
0.0093469	 1.00541	 0.0189337	 0.000545096
0.00971952	 0.950889	 0.016073	 0.00056694
0.0101073	 0.908863	 0.0139956	 0.00058967
0.0105109	 0.93897	 0.0130852	 0.000613321
0.0109309	 0.99067	 0.0129217	 0.00063793
0.0113679	 0.963589	 0.0113119	 0.000663536
0.0118227	 0.946692	 0.0107389	 0.000690179
0.012296	 0.945593	 0.00973824	 0.000717901
0.0127885	 0.93698	 0.00897968	 0.000746744
0.0133009	 0.918145	 0.00855018	 0.000776754
0.0138341	 0.891035	 0.0075346	 0.000807978
0.0143889	 0.761908	 0.00679894	 0.000840466
0.0149662	 0.477135	 0.00488622	 0.000874267
0.0155668	 0.355594	 0.00403847	 0.000909435
0.0161918	 0.310374	 0.00366593	 0.000946024
0.016842	 0.295635	 0.00351023	 0.000984093
0.0175186	 0.263218	 0.0029045	 0.0010237
0.0182224	 0.236972	 0.0027537	 0.00106491
0.0189548	 0.20385	 0.00240164	 0.00110778
0.0197167	 0.174297	 0.0021828	 0.00115239
0.0205094	 0.145381	 0.00195224	 0.0011988
0.0213342	 0.116803	 0.00177565	 0.00124709
0.0221923	 0.0891116	 0.00157091	 0.00129733
0.023085	 0.0632331	 0.00136944	 0.0013496
0.0240137	 0.044157	 0.0011904	 0.00140398
0.02498	 0.0268826	 0.000934897	 0.00146056
0.0259853	 0.0164133	 0.000730381	 0.00151943
0.0268822	 0.00942314	 0.000436778	 0.00157279
0.027885	 0.00783652	 0.000363658	 0.00163204
0.0289963	 0.0077799	 0.000334626	 0.0016973
0.0301505	 0.0099019	 0.000360114	 0.00176509
0.031369	 0.0126535	 0.000412003	 0.00183656
0.0326447	 0.0150634	 0.000460981	 0.00191135
0.0337502	 0.015518	 0.000564779	 0.00197758
0.0351067	 0.0147525	 0.000519415	 0.0020573
0.0365181	 0.0151398	 0.000524442	 0.00214025
0.0379864	 0.0118914	 0.000408945	 0.00222656
0.0395141	 0.0086447	 0.000300915	 0.00231637
0.0411035	 0.00585558	 0.000208478	 0.00240983
0.042757	 0.00335763	 0.00012928	 0.00250709
0.0444774	 0.00153382	 7.09465e-05	 0.0026083
0.0462671	 0.000562839	 3.89508e-05	 0.00271363
0.0481291	 0.000150616	 2.23461e-05	 0.00282324
0.0500663	 0.000179766	 2.2452e-05	 0.00293731
0.0520816	 0.000227175	 2.226e-05	 0.00305602
0.0541783	 0.000281674	 2.39005e-05	 0.00317958
0.0563596	 0.000282712	 2.29856e-05	 0.00330818
0.0586289	 0.00023337	 2.01199e-05	 0.00344203
0.0609897	 0.000250185	 2.08564e-05	 0.00358135
0.0634457	 0.000233387	 2.02682e-05	 0.00372637
0.0660009	 0.000224076	 2.02351e-05	 0.00387733
0.068659	 0.000125273	 1.64751e-05	 0.00403449
0.0714244	 8.19315e-05	 1.52662e-05	 0.0041981
0.0743013	 0.00020362	 2.02046e-05	 0.00436843
0.0772943	 0.000443521	 2.90476e-05	 0.00454579
0.0800798	 0.000663142	 3.04728e-05	 0.00471105
0.0833362	 0.000727173	 3.01119e-05	 0.00490439
0.0866239	 0.000518151	 2.34015e-05	 0.00509982
0.0900875	 0.000249532	 1.57287e-05	 0.00530593
0.0936379	 0.000109517	 1.14526e-05	 0.00551748
0.0972845	 0.000185406	 1.2268e-05	 0.00573509
0.101166	 0.000290465	 1.45196e-05	 0.00596701
0.104851	 0.000280864	 1.63885e-05	 0.00618772
0.109073	 0.000208752	 1.26104e-05	 0.00644075
0.113465	 0.000180661	 1.09734e-05	 0.00670446
0.118035	 0.000218752	 1.17182e-05	 0.00697933
0.122789	 0.000185398	 9.9803e-06	 0.00726587
0.127735	 9.67018e-05	 6.33506e-06	 0.00756464
0.13288	 5.92895e-05	 4.70627e-06	 0.0078762
0.138233	 8.59453e-05	 5.45406e-06	 0.00820117
0.143801	 8.90386e-05	 5.31726e-06	 0.00854019
0.149595	 4.35343e-05	 3.55178e-06	 0.00889395
0.155621	 1.90996e-05	 2.6495e-06	 0.00926317
0.161891	 1.40853e-05	 2.47303e-06	 0.00964862
0.168413	 9.76348e-06	 2.08111e-06	 0.0100511
0.175199	 7.61114e-06	 2.00467e-06	 0.0104716
0.182258	 9.17746e-06	 2.02621e-06	 0.0109109
0.189602	 5.17636e-06	 1.89325e-06	 0.01137
0.197241	 1.43913e-06	 1.79306e-06	 0.0118501
0.205189	 2.0203e-06	 1.67343e-06	 0.0123522
0.213457	 2.21756e-06	 1.81799e-06	 0.0128776
0.222058	 1.39319e-06	 1.80906e-06	 0.0134276
0.231006	 1.22964e-06	 1.90246e-06	 0.0140035
0.240315	 4.32167e-07	 1.79132e-06	 0.014607
0.249999	 2.80617e-06	 1.79274e-06	 0.0152396
0.260074	 1.09267e-06	 1.84164e-06	 0.0159031
0.270554	 4.27207e-06	 1.90973e-06	 0.0165993
0.281457	 1.11232e-06	 2.00558e-06	 0.0173304
0.2928	 2.38176e-06	 1.88893e-06	 0.0180985
