0,1,2
0,OA - thick,23.336098013443944,1.6940676092661207
1,OA - sld,1.5908190509132465,0.10764751476964551
2,OA - rough,9.718320947531154,0.3562971900233052
3,SO - thick,20.97201646886181,1.6290997243230603
4,SO - sld,1.0171575630600067,0.11214532609403438
5,SO - rough,5.511121522148693,3.0088507045773056
6,film - thick,336.7023092631729,1.99928717051435
7,film - sld,2.3860127354913736,0.030924444403335416
8,film - rough,27.8735217920926,0.7101674469619716
9,repeats,7.999612093854226,0.3368878509855491
10,scale,0.6449695651958952,0.020665446468736415
11,scale_2nd,0.2887145696267211,0.020535608690218088
