0,1,2
0,OA - thick,18.126390568311912,8.100955510771374
1,OA - sld,1.8642722825563691,1.0233970813799826
2,OA - rough,9.932098793711226,8.433703839191242
3,SO - thick,24.463280363844362,7.685312383635279
4,SO - sld,1.1018787535322512,0.6068313035069389
5,SO - rough,5.110487312764989,15.702904634804305
6,film - thick,331.17404777523274,2.345130954108763
7,film - sld,2.434840228831577,0.02342866209405395
8,film - rough,33.806090856791535,1.041467072478803
9,repeats,7.742492238488143,8.007852402703104e-14
10,scale,0.8244551439238618,0.03342431989299079
11,scale_2nd,0.10571825973249277,0.04144533376936921
